Name,Type,Category,Effect
Attack Order,Bug,Physical,High critical hit ratio.
Bug Bite,Bug,Physical,Receives the effect from the opponent's held berry.
Bug Buzz,Bug,Special,May lower opponent's Special Defense.
Defend Order,Bug,Status,Raises user's Defense and Special Defense.
Fell Stinger,Bug,Physical,Drastically raises user's Attack if target is KO'd.
First Impression,Bug,Physical,"Although this move has great power, it only works the first turn the user is in battle."
Fury Cutter,Bug,Physical,Power increases each turn.
Heal Order,Bug,Status,User recovers half its max HP.
Infestation,Bug,Special,"Traps opponent, damaging them for 4-5 turns."
Leech Life,Bug,Physical,User recovers half the HP inflicted on opponent.
Lunge,Bug,Physical,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
Megahorn,Bug,Physical,�
Pin Missile,Bug,Physical,Hits 2-5 times in one turn.
Pollen Puff,Bug,Special,Deals damage to opponent or restores HP of teammate.
Pounce,Bug,Physical,Lowers opponent's Speed.
Powder,Bug,Status,Damages Pok�mon using Fire type moves.
Quiver Dance,Bug,Status,"Raises user's Special Attack, Special Defense and Speed."
Rage Powder,Bug,Status,"Forces attacks to hit user, not team-mates."
Signal Beam,Bug,Special,May confuse opponent.
Silk Trap,Bug,Status,Protects the user and lowers opponent's Speed on contact.
Silver Wind,Bug,Special,May raise all stats of user at once.
Skitter Smack,Bug,Physical,Lowers opponent's Sp. Attack.
Spider Web,Bug,Status,Opponent cannot escape/switch.
Steamroller,Bug,Physical,May cause flinching.
Sticky Web,Bug,Status,Lowers opponent's Speed when switching into battle.
String Shot,Bug,Status,Sharply lowers opponent's Speed.
Struggle Bug,Bug,Special,Lowers opponent's Special Attack.
Tail Glow,Bug,Status,Drastically raises user's Special Attack.
Twineedle,Bug,Physical,Hits twice in one turn. May poison opponent.
U-turn,Bug,Physical,User switches out immediately after attacking.
X-Scissor,Bug,Physical,�
Assurance,Dark,Physical,Power doubles if opponent already took damage in the same turn.
Beat Up,Dark,Physical,Each Pok�mon in user's party attacks.
Bite,Dark,Physical,May cause flinching.
Brutal Swing,Dark,Physical,The user swings its body around violently to inflict damage on everything in its vicinity.
Ceaseless Edge,Dark,Physical,Sets up Spikes.
Comeuppance,Dark,Physical,Deals more damage to the opponent that last inflicted damage on it.
Crunch,Dark,Physical,May lower opponent's Defense.
Dark Pulse,Dark,Special,May cause flinching.
Dark Void,Dark,Status,Puts all adjacent opponents to sleep.
Darkest Lariat,Dark,Physical,Ignores opponent's stat changes.
Embargo,Dark,Status,Opponent cannot use items.
Fake Tears,Dark,Status,Sharply lowers opponent's Special Defense.
False Surrender,Dark,Physical,Ignores Accuracy and Evasiveness.
Feint Attack,Dark,Physical,Ignores Accuracy and Evasiveness.
Fiery Wrath,Dark,Special,May cause flinching.
Flatter,Dark,Status,"Confuses opponent, but raises its Special Attack."
Fling,Dark,Physical,Power depends on held item.
Foul Play,Dark,Physical,Uses the opponent's Attack stat.
Hone Claws,Dark,Status,Raises user's Attack and Accuracy.
Hyperspace Fury,Dark,Physical,Lowers user's Defense. Can strike through Protect/Detect.
Jaw Lock,Dark,Physical,Prevents user and opponent from switching out.
Knock Off,Dark,Physical,Removes opponent's held item for the rest of the battle.
Kowtow Cleave,Dark,Physical,Always hits.
Lash Out,Dark,Physical,Double power if stats were lowered during the turn.
Memento,Dark,Status,"User faints, sharply lowers opponent's Attack and Special Attack."
Nasty Plot,Dark,Status,Sharply raises user's Special Attack.
Night Daze,Dark,Special,May lower opponent's Accuracy.
Night Slash,Dark,Physical,High critical hit ratio.
Obstruct,Dark,Status,Protects the user and sharply lowers Defence on contact.
Parting Shot,Dark,Status,Lowers opponent's Attack and Special Attack then switches out.
Payback,Dark,Physical,Power doubles if the user was attacked first.
Power Trip,Dark,Physical,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
Punishment,Dark,Physical,Power increases when opponent's stats have been raised.
Pursuit,Dark,Physical,Double power if the opponent is switching out.
Quash,Dark,Status,Makes the target act last this turn.
Ruination,Dark,Special,Halves the opponent's HP.
Snarl,Dark,Special,Lowers opponent's Special Attack.
Snatch,Dark,Status,Steals the effects of the opponent's next move.
Sucker Punch,Dark,Physical,"User attacks first, but only works if opponent is readying an attack."
Switcheroo,Dark,Status,Swaps held items with the opponent.
Taunt,Dark,Status,Opponent can only use moves that attack.
Thief,Dark,Physical,Also steals opponent's held item.
Throat Chop,Dark,Physical,Prevents use of sound moves for two turns.
Topsy-Turvy,Dark,Status,Reverses stat changes of opponent.
Torment,Dark,Status,Opponent cannot use the same move in a row.
Wicked Blow,Dark,Physical,Always results in a critical hit and ignores stat changes.
Wicked Torque,Dark,Physical,May put opponent to sleep.
Breaking Swipe,Dragon,Physical,Hits multiple opponents and lowers their attack.
Clanging Scales,Dragon,Special,Lowers user's Defense.
Clangorous Soul,Dragon,Status,Raises all user's stats but loses HP.
Core Enforcer,Dragon,Special,Suppresses the target's ability if the target has already moved.
Draco Meteor,Dragon,Special,Sharply lowers user's Special Attack.
Dragon Breath,Dragon,Special,May paralyze opponent.
Dragon Cheer,Dragon,Status,Raises critical hit rate by 1; raises critical hit rate by 2 is the target is a dragon type. This cannot be used on the same pokemon multiple times.
Dragon Claw,Dragon,Physical,�
Dragon Dance,Dragon,Status,Raises user's Attack and Speed.
Dragon Darts,Dragon,Physical,User attacks twice.
Dragon Energy,Dragon,Special,"The higher the user's HP, the higher the power."
Dragon Hammer,Dragon,Physical,The user uses its body like a hammer to attack the target and inflict damage.
Dragon Pulse,Dragon,Special,�
Dragon Rage,Dragon,Special,Always inflicts 4� HP.
Dragon Rush,Dragon,Physical,May cause flinching.
Dragon Tail,Dragon,Physical,"In battles, the opponent switches. In the wild, the Pok�mon runs."
Dual Chop,Dragon,Physical,Hits twice in one turn.
Dynamax Cannon,Dragon,Special,Damage doubles if opponent is Dynamaxed.
Eternabeam,Dragon,Special,User can't move on the next turn.
Fickle Beam,Dragon,Special,May deal double damage.
Glaive Rush,Dragon,Physical,Attacks from opposing Pok�mon during the next turn cannot miss and will inflict double damage.
Order Up,Dragon,Physical,Boosts Attack/Defense/Speed depending on ally Tatsugiri.
Outrage,Dragon,Physical,User attacks for 2-3 turns but then becomes confused.
Roar of Time,Dragon,Special,User must recharge next turn.
Scale Shot,Dragon,Physical,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.
Spacial Rend,Dragon,Special,High critical hit ratio.
Twister,Dragon,Special,May cause flinching. Hits Pok�mon using Fly/Bounce with double power.
Aura Wheel,Electric,Physical,Changes type based on Morpeko's Mode.
Bolt Beak,Electric,Physical,"If the user attacks before the target, the power of this move is doubled."
Bolt Strike,Electric,Physical,May paralyze opponent.
Charge,Electric,Status,Raises user's Special Defense and next Electric move's power increases.
Charge Beam,Electric,Special,May raise user's Special Attack.
Discharge,Electric,Special,May paralyze opponent.
Double Shock,Electric,Physical,"After using this move, the user will no longer be Electric type."
Eerie Impulse,Electric,Status,Sharply lowers opponent's Special Attack.
Electric Terrain,Electric,Status,Prevents all Pok�mon from falling asleep for 5 turns.
Electrify,Electric,Status,Changes the target's move to Electric type.
Electro Ball,Electric,Special,"The faster the user, the stronger the attack."
Electro Drift,Electric,Special,Boosted even more if it's super-effective.
Electro Shot,Electric,Special,"Charges on first turn, attacks on second."
Electroweb,Electric,Special,Lowers opponent's Speed.
Fusion Bolt,Electric,Physical,Power increases if Fusion Flare is used in the same turn.
Ion Deluge,Electric,Status,Changes Normal-type moves to Electric-type.
