TM,Move,Type,Category,PP,Power,Accuracy,Range,Effect
1,Attack Order,Bug,Physical,15,9,100%,Room,High critical hit ratio.
2,Bug Bite,Bug,Physical,20,6,100%,1,Receives the effect from the opponent's held berry.
3,Bug Buzz,Bug,Special,10,9,100%,Burst,May lower opponent's Special Defense.
4,Defend Order,Bug,Status,10,N/A,—,Self,Raises user's Defense and Special Defense.
5,Fell Stinger,Bug,Physical,25,5,100%,1,Drastically raises user's Attack if target is KO'd.
6,First Impression,Bug,Physical,10,9,100%,1,"Although this move has great power, it only works the first turn the user is in battle."
7,Fury Cutter,Bug,Physical,20,4,95%,1,Power increases each turn.
8,Heal Order,Bug,Status,10,N/A,—,Self,User recovers half its max HP.
9,Infestation,Bug,Special,20,2,100%,1,"Traps opponent, damaging them for 4-5 turns."
10,Leech Life,Bug,Physical,10,8,100%,1,User recovers half the HP inflicted on opponent.
11,Lunge,Bug,Physical,15,8,100%,2,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
12,Megahorn,Bug,Physical,10,12,85%,1,—
13,Pin Missile,Bug,Physical,20,3,95%,10,Hits 2-5 times in one turn.
14,Pollen Puff,Bug,Special,15,9,100%,Burst,Deals damage to opponent or restores HP of teammate.
15,Pounce,Bug,Physical,20,5,100%,2,Lowers opponent's Speed.
16,Powder,Bug,Status,20,N/A,100%,Room,Damages Pokémon using Fire type moves.
17,Quiver Dance,Bug,Status,20,N/A,—,Self,"Raises user's Special Attack, Special Defense and Speed."
18,Rage Powder,Bug,Status,20,N/A,—,Self,"Forces attacks to hit user, not team-mates."
19,Signal Beam,Bug,Special,15,8,100%,10,May confuse opponent.
20,Silk Trap,Bug,Status,10,N/A,—,Self,Protects the user and lowers opponent's Speed on contact.
21,Silver Wind,Bug,Special,5,6,100%,Room,May raise all stats of user at once.
22,Skitter Smack,Bug,Physical,10,7,90%,1,Lowers opponent's Sp. Attack.
23,Spider Web,Bug,Status,10,N/A,—,5A,Opponent cannot escape/switch.
24,Steamroller,Bug,Physical,20,7,100%,1,May cause flinching.
25,Sticky Web,Bug,Status,20,N/A,—,1,Lowers opponent's Speed when switching into battle.
26,String Shot,Bug,Status,40,N/A,95%,10,Sharply lowers opponent's Speed.
27,Struggle Bug,Bug,Special,20,5,100%,Burst,Lowers opponent's Special Attack.
28,Tail Glow,Bug,Status,20,N/A,—,Self,Drastically raises user's Special Attack.
29,Twineedle,Bug,Physical,20,3,100%,10,Hits twice in one turn. May poison opponent.
30,U-turn,Bug,Physical,20,7,100%,1,User switches out immediately after attacking.
31,X-Scissor,Bug,Physical,15,8,100%,1,—
32,Assurance,Dark,Physical,10,6,100%,1,Power doubles if opponent already took damage in the same turn.
33,Beat Up,Dark,Physical,10,N/A,100%,1,Each Pokémon in user's party attacks.
34,Bite,Dark,Physical,25,6,100%,1,May cause flinching.
35,Brutal Swing,Dark,Physical,20,6,100%,Burst,The user swings its body around violently to inflict damage on everything in its vicinity.
36,Ceaseless Edge,Dark,Physical,15,7,90%,1,Sets up Spikes.
