source,pokemon,category,type,name,usage
2018-07_gen7doublesou-0.json,Landorus-Therian,Stats,Raw count,,56494
2018-07_gen7doublesou-0.json,Landorus-Therian,Stats,Avg. weight,,1.0
2018-07_gen7doublesou-0.json,Landorus-Therian,Stats,Viability Ceiling,,94
2018-07_gen7doublesou-0.json,Landorus-Therian,Stats,Jolly,,5.222
2018-07_gen7doublesou-0.json,Landorus-Therian,Stats,Adamant,,6.116
2018-07_gen7doublesou-0.json,Landorus-Therian,Stats,Modest,,2.427
2018-07_gen7doublesou-0.json,Landorus-Therian,Abilities,,Intimidate,100.0
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Choice Scarf,32.301
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Assault Vest,13.203
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Groundium Z,11.525
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Life Orb,7.808
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Leftovers,6.882
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Choice Band,5.183
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Yache Berry,4.806
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Rocky Helmet,4.707
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Focus Sash,3.046
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Flyinium Z,2.186
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Iapapa Berry,1.382
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Rockium Z,1.027
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Sitrus Berry,0.848
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Mago Berry,0.835
2018-07_gen7doublesou-0.json,Landorus-Therian,Items,,Other,4.261
2018-07_gen7doublesou-0.json,Landorus-Therian,Spreads,,Other,51.05
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Earthquake,83.14
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,U-turn,68.625
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Rock Slide,60.962
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Knock Off,39.277
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Protect,21.939
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Superpower,21.547
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Stealth Rock,20.046
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Hidden Power Ice,13.895
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Earth Power,12.764
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Stone Edge,8.472
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Explosion,8.328
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Sludge Bomb,7.562
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Swords Dance,4.701
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Fly,3.629
2018-07_gen7doublesou-0.json,Landorus-Therian,Moves,,Brick Break,3.459
