Rank,Pokemon,UsagePercent
1,Metagross,60.86420
2,Gengar,53.95062
3,Salamence,31.48148
4,Tyranitar,25.18519
5,Swampert,20.37037
6,Deoxys-Speed,19.62963
7,Gyarados,18.39506
8,Ludicolo,17.77778
9,Zapdos,16.29630
10,Dusclops,14.44444
11,Milotic,11.85185
12,Shiftry,11.35802
13,Alakazam,9.50617
14,Suicune,9.25926
15,Arcanine,9.13580
16,Marowak,8.88889
17,Exeggutor,8.27160
18,Aerodactyl,8.27160
19,Claydol,8.27160
20,Moltres,8.02469
21,Blaziken,7.90123
22,Celebi,7.90123
23,Snorlax,7.65432
24,Jirachi,7.03704
25,Weezing,6.91358
26,Houndoom,6.79012
27,Kingdra,6.66667
28,Jolteon,6.29630
29,Dugtrio,5.92593
30,Flygon,5.92593
31,Hariyama,5.80247
32,Skarmory,5.43210
33,Raikou,5.30864
34,Breloom,4.69136
35,Clefable,4.69136
36,Blissey,4.56790
37,Dragonite,4.32099
38,Slaking,4.19753
39,Omastar,4.07407
40,Venusaur,4.07407
41,Heracross,3.95062
42,Togetic,3.45679
43,Charizard,3.45679
44,Smeargle,3.33333
45,Umbreon,3.20988
46,Regirock,3.08642
47,Gardevoir,3.08642
48,Regice,3.08642
49,Ninjask,3.08642
50,Sceptile,2.96296
51,Magneton,2.71605
52,Entei,2.46914
53,Vileplume,2.46914
54,Minun,2.09877
55,Plusle,2.09877
56,Kabutops,1.97531
57,Scizor,1.85185
58,Raichu,1.72840
59,Sableye,1.72840
60,Typhlosion,1.72840
61,Miltank,1.72840
62,Starmie,1.72840
63,Wobbuffet,1.60494
64,Rhydon,1.60494
65,Porygon2,1.60494
66,Crobat,1.60494
67,Golduck,1.60494
68,Jumpluff,1.48148
69,Ditto,1.35802
70,Electabuzz,1.35802
71,Dewgong,1.35802
72,Forretress,1.35802
73,Machamp,1.23457
74,Cacturne,1.23457
75,Absol,1.23457
76,Magmar,1.23457
77,Articuno,1.23457
78,Cloyster,1.23457
79,Politoed,1.23457
80,Donphan,1.23457
81,Medicham,1.23457
82,Espeon,1.23457
83,Hitmontop,1.23457
84,Pikachu,1.11111
85,Steelix,1.11111
86,Shedinja,1.11111
87,Aggron,0.98765
88,Trapinch,0.98765
89,Vaporeon,0.98765
90,Swellow,0.86420
91,Mr. Mime,0.86420
92,Registeel,0.86420
93,Armaldo,0.74074
94,Kangaskhan,0.61728
95,Poliwrath,0.61728
96,Linoone,0.61728
97,Ampharos,0.61728
98,Blastoise,0.61728
99,Tauros,0.61728
100,Lapras,0.61728
101,Wailord,0.49383
102,Jynx,0.49383
103,Mightyena,0.37037
104,Gligar,0.37037
105,Magcargo,0.37037
106,Aipom,0.37037
107,Castform,0.37037
108,Electrode,0.37037
109,Flareon,0.37037
110,Manectric,0.37037
111,Tropius,0.37037
112,Camerupt,0.37037
113,Corphish,0.24691
114,Nidoqueen,0.24691
115,Golem,0.24691
116,Wartortle,0.24691
117,Exploud,0.24691
118,Walrein,0.24691
119,Quagsire,0.24691
120,Torkoal,0.24691
121,Xatu,0.24691
122,Ninetales,0.24691
123,Nosepass,0.12346
124,Mantine,0.12346
125,Altaria,0.12346
126,Pinsir,0.12346
127,Muk,0.12346
128,Geodude,0.12346
129,Granbull,0.12346
130,Lanturn,0.12346
131,Beautifly,0.12346
132,Pelipper,0.12346
133,Feraligatr,0.12346
134,Ursaring,0.12346
135,Lickitung,0.12346
136,Togepi,0.12346
137,Cradily,0.12346
138,Pidgeot,0.12346
139,Rapidash,0.12346
140,Nidoking,0.12346
141,Weedle,0.12346
142,Meganium,0.12346
143,Tentacruel,0.12346
144,Glalie,0.12346
