Rank,Pokemon,UsagePercent
1,Landorus-Therian,19.68268
2,Aegislash,18.48199
3,Amoonguss,14.32247
4,Kangaskhan-Mega,13.82933
5,Charizard-Mega-Y,13.12178
6,Talonflame,12.45712
7,Garchomp,11.23499
8,Togekiss,11.12779
9,Gengar,10.63465
10,Heatran,10.07719
11,Rotom-Wash,9.62693
12,Sylveon,8.85506
13,Gengar-Mega,8.66209
14,Conkeldurr,8.66209
15,Whimsicott,8.23328
16,Ferrothorn,8.19039
17,Arcanine,8.04031
18,Cresselia,7.86878
19,Thundurus,7.22556
20,Sableye,6.96827
21,Tyranitar,6.58233
22,Gastrodon,6.53945
23,Politoed,6.00343
24,Suicune,5.96055
25,Greninja,5.93911
26,Salamence-Mega,5.87479
27,Hydreigon,5.81046
28,Azumarill,5.74614
29,Weavile,5.66038
30,Venusaur,5.61750
31,Scrafty,5.40309
32,Hitmontop,5.36021
33,Keldeo,5.25300
34,Breloom,5.18868
35,Lucario-Mega,4.84563
36,Gardevoir-Mega,4.82419
37,Raichu,4.71698
38,Charizard-Mega-X,4.39537
39,Snorlax,4.28816
40,Volcanion,4.28816
41,Garchomp-Mega,4.03087
42,Ludicolo,3.94511
43,Bisharp,3.92367
44,Kyurem-Black,3.90223
45,Latios,3.55918
46,Serperior,3.55918
47,Zapdos,3.49485
48,Hitmonlee,3.43053
49,Sceptile-Mega,3.34477
50,Salamence,3.32333
51,Metagross-Mega,3.21612
52,Venusaur-Mega,3.19468
53,Terrakion,3.19468
54,Hoopa-Unbound,3.00172
55,Swampert-Mega,2.95883
56,Dragonite,2.85163
57,Chandelure,2.85163
58,Gardevoir,2.78731
59,Clefable,2.74443
60,Reuniclus,2.68010
61,Kingdra,2.68010
62,Mawile-Mega,2.65866
63,Gliscor,2.48714
64,Shaymin-Sky,2.44425
65,Nidoking,2.44425
66,Excadrill,2.37993
67,Diancie-Mega,2.35849
68,Blastoise-Mega,2.35849
69,Scizor,2.33705
70,Volcarona,2.22985
71,Gothitelle,2.20840
