Rank,Pokemon,UsagePercent
1,Rillaboom,23.98604
2,Incineroar,18.33842
3,Pelipper,13.38857
4,Heatran,10.96816
5,Dragapult,10.90275
6,Urshifu-Rapid-Strike,10.61928
7,Dracovish,10.40122
8,Zeraora,9.37636
9,Amoonguss,9.31095
10,Whimsicott,8.78761
11,Gastrodon,8.37331
12,Ninetales,7.98081
13,Regieleki,7.43567
14,Ninetales-Alola,7.37026
15,Scizor,7.17401
16,Barraskewda,6.97776
17,Zapdos,6.93415
18,Kyurem-Black,6.82512
19,Inteleon,6.78151
20,Indeedee-F,6.78151
21,Mew,6.73790
22,Landorus-Therian,6.58526
23,Tyranitar,6.56345
24,Venusaur,6.51984
25,Thundurus-Therian,6.34540
26,Seismitoad,6.01832
27,Milotic,5.93109
28,Zygarde,5.66943
29,Cinderace,5.49498
30,Sylveon,5.38596
31,Hatterene,5.36415
32,Shedinja,5.36415
33,Tapu Lele,5.12429
34,Celesteela,5.05887
35,Togekiss,4.99346
36,Politoed,4.86263
37,Volcanion,4.86263
38,Pheromosa,4.70999
39,Diancie,4.53554
40,Genesect,4.53554
41,Garchomp,4.53554
42,Arcanine,4.51374
43,Torkoal,4.33929
44,Dusclops,4.25207
45,Excadrill,4.01221
46,Porygon2,3.94679
47,Naganadel,3.77235
48,Tapu Koko,3.64152
49,Cradily,3.57610
50,Weavile,3.55430
51,Heliolisk,3.40166
52,Tapu Fini,3.33624
53,Ferrothorn,3.22721
54,Gardevoir,3.22721
55,Indeedee,3.20541
56,Malamar,3.13999
57,Grimmsnarl,3.11819
58,Goodra,3.09638
59,Drifblim,3.05277
60,Blacephalon,2.96555
61,Kingdra,2.94374
62,Ludicolo,2.92194
63,Necrozma,2.81291
64,Salamence,2.81291
65,Shuckle,2.70388
66,Tsareena,2.66027
67,Conkeldurr,2.66027
68,Cherrim,2.61666
69,Comfey,2.46402
70,Abomasnow,2.35499
71,Landorus,2.35499
72,Clefable,2.33319
73,Jolteon,2.33319
74,Leafeon,2.31138
75,Blastoise,2.24597
76,Eldegoss,2.24597
77,Metagross,2.22416
78,Primarina,2.20235
79,Rhyperior,2.20235
80,Audino,2.20235
81,Arctovish,2.07152
82,Lapras,2.04972
83,Lucario,2.04972
84,Charizard,2.02791
85,Regigigas,1.96249
86,Darmanitan-Galar,1.94069
87,Gyarados,1.91888
88,Latios,1.87527
89,Espeon,1.87527
90,Hippowdon,1.85347
91,Hitmontop,1.85347
92,Glaceon,1.83166
93,Araquanid,1.74444
94,Pincurchin,1.72263
95,Kommo-o,1.70083
96,Moltres-Galar,1.70083
97,Toxtricity,1.67902
98,Dracozolt,1.67902
99,Aegislash,1.65722
100,Rotom-Mow,1.59180
101,Stakataka,1.57000
102,Hawlucha,1.54819
103,Corviknight,1.50458
104,Krookodile,1.39555
105,Tornadus,1.37375
106,Togedemaru,1.37375
107,Alcremie,1.37375
108,Gigalith,1.37375
109,Blaziken,1.30833
110,Weezing-Galar,1.30833
111,Manectric,1.30833
112,Clefairy,1.30833
113,Scrafty,1.30833
114,Oranguru,1.28652
115,Slowbro,1.26472
116,Gengar,1.24291
117,Dragonite,1.24291
118,Nidoking,1.24291
119,Hydreigon,1.19930
120,Victini,1.19930
121,Bisharp,1.17750
122,Pangoro,1.17750
123,Froslass,1.17750
124,Alakazam,1.15569
125,Klefki,1.13389
126,Terrakion,1.13389
127,Meowstic,1.11208
128,Sableye,1.11208
129,Snorlax,1.09027
130,Ditto,1.09027
131,Rotom-Wash,1.06847
132,Arctozolt,1.06847
133,Lurantis,1.06847
134,Cresselia,1.04666
135,Reuniclus,1.04666
136,Volcarona,1.02486
137,Roserade,1.02486
138,Ribombee,1.02486
139,Carbink,1.00305
140,Azumarill,1.00305
141,Glastrier,1.00305
142,Jellicent,1.00305
143,Cloyster,1.00305
144,Toxapex,0.98125
145,Sirfetch'd,0.98125
146,Vikavolt,0.98125
147,Golisopod,0.95944
148,Braviary,0.93764
149,Coalossal,0.93764
150,Trevenant,0.89403
151,Mimikyu,0.87222
152,Sandslash-Alola,0.85041
153,Umbreon,0.85041
154,Escavalier,0.85041
155,Electivire,0.85041
156,Drapion,0.82861
157,Zoroark,0.80680
158,Seaking,0.78500
159,Decidueye,0.76319
160,Blissey,0.74139
161,Swampert,0.71958
162,Accelgor,0.67597
163,Zapdos-Galar,0.65416
164,Latias,0.65416
165,Emolga,0.61055
166,Regirock,0.61055
167,Bouffalant,0.58875
168,Mamoswine,0.58875
169,Moltres,0.58875
170,Shiftry,0.58875
171,Absol,0.56694
172,Xurkitree,0.56694
173,Porygon-Z,0.56694
174,Drampa,0.56694
175,Gallade,0.54514
176,Lopunny,0.54514
177,Raichu-Alola,0.54514
178,Chandelure,0.54514
179,Magnezone,0.50153
180,Entei,0.50153
181,Stoutland,0.50153
182,Thundurus,0.50153
183,Beartic,0.50153
184,Crawdaunt,0.47972
185,Weezing,0.47972
186,Liepard,0.47972
187,Raichu,0.47972
188,Tauros,0.47972
189,Chansey,0.47972
190,Obstagoon,0.47972
191,Sceptile,0.45792
192,Mawile,0.45792
193,Durant,0.45792
194,Steelix,0.45792
195,Orbeetle,0.45792
196,Gothitelle,0.45792
197,Mudsdale,0.45792
198,Tapu Bulu,0.43611
199,Galvantula,0.43611
200,Swoobat,0.43611
201,Aron,0.43611
202,Quagsire,0.43611
203,Vanilluxe,0.43611
204,Nihilego,0.43611
205,Duraludon,0.43611
206,Slowking-Galar,0.43611
207,Centiskorch,0.43611
208,Dragalge,0.41430
209,Bergmite,0.41430
210,Pikachu,0.41430
211,Machamp,0.41430
212,Crustle,0.41430
213,Mr. Rime,0.41430
214,Cinccino,0.41430
215,Aromatisse,0.41430
216,Butterfree,0.39250
217,Starmie,0.39250
218,Slowking,0.39250
219,Aurorus,0.39250
220,Buzzwole,0.39250
221,Salazzle,0.39250
222,Drednaw,0.37069
223,Sandaconda,0.37069
224,Rotom-Heat,0.37069
225,Minccino,0.34889
226,Marowak-Alola,0.34889
227,Talonflame,0.34889
228,Wobbuffet,0.32708
229,Exeggutor,0.32708
230,Toxicroak,0.32708
231,Mienshao,0.32708
232,Aerodactyl,0.30528
233,Regidrago,0.30528
234,Luxray,0.30528
235,Bronzong,0.30528
236,Aggron,0.28347
237,Octillery,0.28347
238,Lycanroc-Dusk,0.28347
239,Runerigus,0.28347
240,Boltund,0.28347
241,Altaria,0.28347
242,Spectrier,0.28347
243,Vaporeon,0.28347
244,Flygon,0.28347
245,Falinks,0.28347
246,Turtonator,0.26167
247,Sigilyph,0.26167
248,Thievul,0.26167
249,Cramorant,0.26167
250,Azelf,0.26167
251,Rapidash-Galar,0.26167
252,Scolipede,0.26167
253,Bellossom,0.26167
254,Crobat,0.23986
255,Skuntank,0.23986
256,Regice,0.23986
257,Xatu,0.23986
258,Articuno,0.23986
259,Grapploct,0.23986
260,Polteageist,0.23986
261,Armaldo,0.23986
262,Silvally-Ghost,0.21805
263,Stonjourner,0.21805
264,Cursola,0.21805
265,Basculin,0.21805
266,Shiinotic,0.21805
267,Hitmonlee,0.21805
268,Dhelmise,0.21805
269,Noctowl,0.21805
270,Morpeko,0.21805
271,Ninjask,0.21805
272,Lanturn,0.21805
273,Suicune,0.21805
274,Wishiwashi,0.21805
275,Eiscue,0.19625
276,Wartortle,0.19625
277,Togetic,0.19625
278,Palossand,0.19625
279,Maractus,0.19625
280,Marowak,0.19625
281,Tyrantrum,0.19625
282,Greedent,0.17444
283,Lycanroc-Midnight,0.17444
284,Copperajah,0.17444
285,Exeggutor-Alola,0.17444
286,Skarmory,0.17444
287,Archeops,0.17444
288,Cottonee,0.17444
289,Corsola-Galar,0.17444
290,Rhydon,0.15264
291,Lickilicky,0.15264
292,Claydol,0.15264
293,Spiritomb,0.15264
294,Persian-Alola,0.15264
295,Kyurem,0.15264
296,Qwilfish,0.15264
297,Charjabug,0.15264
298,Dubwool,0.15264
299,Tornadus-Therian,0.15264
300,Pyukumuku,0.15264
301,Garbodor,0.15264
302,Mr. Mime,0.15264
303,Tentacruel,0.15264
304,Unfezant,0.13083
305,Carracosta,0.13083
306,Nidoqueen,0.13083
307,Scyther,0.13083
308,Musharna,0.13083
309,Mantine,0.13083
310,Cofagrigus,0.13083
311,Cosmoem,0.13083
312,Golduck,0.13083
313,Growlithe,0.13083
314,Lilligant,0.13083
315,Haxorus,0.13083
316,Gothorita,0.10903
317,Cobalion,0.10903
318,Slowbro-Galar,0.10903
319,Appletun,0.10903
320,Avalugg,0.10903
321,Miltank,0.10903
322,Guzzlord,0.08722
323,Druddigon,0.08722
324,Espurr,0.08722
325,Wailord,0.08722
326,Dusknoir,0.08722
327,Lycanroc,0.08722
328,Registeel,0.08722
329,Riolu,0.08722
330,Klinklang,0.08722
331,Golurk,0.08722
332,Flareon,0.08722
333,Delibird,0.08722
334,Calyrex,0.08722
335,Barbaracle,0.08722
336,Rapidash,0.08722
337,Passimian,0.08722
338,Mandibuzz,0.06542
339,Eevee,0.06542
340,Walrein,0.06542
341,Noivern,0.06542
342,Exploud,0.06542
343,Bewear,0.06542
344,Solrock,0.06542
345,Sudowoodo,0.06542
346,Silvally-Fairy,0.06542
347,Vileplume,0.06542
348,Pichu,0.06542
349,Beheeyem,0.06542
350,Heracross,0.06542
351,Magmortar,0.06542
352,Diggersby,0.06542
353,Perrserker,0.06542
354,Kingler,0.06542
355,Zarude,0.06542
356,Magnemite,0.04361
357,Omastar,0.04361
358,Gloom,0.04361
359,Vespiquen,0.04361
360,Gourgeist-Small,0.04361
361,Tangrowth,0.04361
362,Jigglypuff,0.04361
363,Throh,0.04361
364,Kabutops,0.04361
365,Rotom-Frost,0.04361
366,Rotom-Fan,0.04361
367,Keldeo,0.04361
368,Clawitzer,0.04361
369,Corsola,0.04361
370,Raikou,0.04361
371,Meltan,0.04361
372,Sawk,0.04361
373,Articuno-Galar,0.04361
374,Stunfisk,0.04361
375,Cryogonal,0.04361
376,Mr. Mime-Galar,0.02181
377,Buneary,0.02181
378,Azurill,0.02181
379,Linoone,0.02181
380,Sharpedo,0.02181
381,Celebi,0.02181
382,Kangaskhan,0.02181
383,Drakloak,0.02181
384,Vulpix,0.02181
385,Dedenne,0.02181
386,Amaura,0.02181
387,Dugtrio-Alola,0.02181
388,Dunsparce,0.02181
389,Lombre,0.02181
390,Heatmor,0.02181
391,Relicanth,0.02181
392,Raboot,0.02181
393,Hatenna,0.02181
394,Onix,0.02181
395,Silvally-Dragon,0.02181
396,Vibrava,0.02181
397,Seadra,0.02181
398,Nickit,0.02181
399,Stunfisk-Galar,0.02181
