Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0906,Sprigatito,Grass,9,310,40,61,54,45,45,65
0907,Floragato,Grass,9,410,61,80,63,60,63,83
0908,Meowscarada,Grass Dark,9,530,76,110,70,81,70,123
0909,Fuecoco,Fire,9,310,67,45,59,63,40,36
0910,Crocalor,Fire,9,411,81,55,78,90,58,49
0911,Skeledirge,Fire Ghost,9,530,104,75,100,110,75,66
0912,Quaxly,Water,9,310,55,65,45,50,45,50
0913,Quaxwell,Water,9,410,70,85,65,65,60,65
0914,Quaquaval,Water Fighting,9,530,85,120,80,85,75,85
0915,Lechonk,Normal,9,254,54,45,40,35,45,35
0916,Oinkologne Male,Normal,9,489,110,100,75,59,80,65
0916,Oinkologne Female,Normal,9,489,115,90,70,59,90,65
0917,Tarountula,Bug,9,210,35,41,45,29,40,20
0918,Spidops,Bug,9,404,60,79,92,52,86,35
0919,Nymble,Bug,9,210,33,46,40,21,25,45
0920,Lokix,Bug Dark,9,450,71,102,78,52,55,92
0921,Pawmi,Electric,9,240,45,50,20,40,25,60
0922,Pawmo,Electric Fighting,9,350,60,75,40,50,40,85
0923,Pawmot,Electric Fighting,9,490,70,115,70,70,60,105
0924,Tandemaus,Normal,9,305,50,50,45,40,45,75
0925,Maushold Family of Four,Normal,9,470,74,75,70,65,75,111
0925,Maushold Family of Three,Normal,9,470,74,75,70,65,75,111
0926,Fidough,Fairy,9,312,37,55,70,30,55,65
0927,Dachsbun,Fairy,9,477,57,80,115,50,80,95
0928,Smoliv,Grass Normal,9,260,41,35,45,58,51,30
0929,Dolliv,Grass Normal,9,354,52,53,60,78,78,33
0930,Arboliva,Grass Normal,9,510,78,69,90,125,109,39
0931,Squawkabilly Green Plumage,Normal Flying,9,417,82,96,51,45,51,92
0931,Squawkabilly Blue Plumage,Normal Flying,9,417,82,96,51,45,51,92
0931,Squawkabilly Yellow Plumage,Normal Flying,9,417,82,96,51,45,51,92
0931,Squawkabilly White Plumage,Normal Flying,9,417,82,96,51,45,51,92
0932,Nacli,Rock,9,280,55,55,75,35,35,25
0933,Naclstack,Rock,9,355,60,60,100,35,65,35
0934,Garganacl,Rock,9,500,100,100,130,45,90,35
0935,Charcadet,Fire,9,255,40,50,40,50,40,35
0936,Armarouge,Fire Psychic,9,525,85,60,100,125,80,75
0937,Ceruledge,Fire Ghost,9,525,75,125,80,60,100,85
0938,Tadbulb,Electric,9,272,61,31,41,59,35,45
0939,Bellibolt,Electric,9,495,109,64,91,103,83,45
0940,Wattrel,Electric Flying,9,280,40,40,35,55,40,70
0941,Kilowattrel,Electric Flying,9,490,70,70,60,105,60,125
0942,Maschiff,Dark,9,340,60,78,60,40,51,51
0943,Mabosstiff,Dark,9,505,80,120,90,60,70,85
0944,Shroodle,Poison Normal,9,290,40,65,35,40,35,75
0945,Grafaiai,Poison Normal,9,485,63,95,65,80,72,110
0946,Bramblin,Grass Ghost,9,275,40,65,30,45,35,60
0947,Brambleghast,Grass Ghost,9,480,55,115,70,80,70,90
0948,Toedscool,Ground Grass,9,335,40,40,35,50,100,70
0949,Toedscruel,Ground Grass,9,515,80,70,65,80,120,100
0950,Klawf,Rock,9,450,70,100,115,35,55,75
0951,Capsakid,Grass,9,304,50,62,40,62,40,50
0952,Scovillain,Grass Fire,9,486,65,108,65,108,65,75
0953,Rellor,Bug,9,270,41,50,60,31,58,30
0954,Rabsca,Bug Psychic,9,470,75,50,85,115,100,45
0955,Flittle,Psychic,9,255,30,35,30,55,30,75
0956,Espathra,Psychic,9,481,95,60,60,101,60,105
0957,Tinkatink,Fairy Steel,9,297,50,45,45,35,64,58
0958,Tinkatuff,Fairy Steel,9,380,65,55,55,45,82,78
0959,Tinkaton,Fairy Steel,9,506,85,75,77,70,105,94
0960,Wiglett,Water,9,245,10,55,25,35,25,95
0961,Wugtrio,Water,9,425,35,100,50,50,70,120
0962,Bombirdier,Flying Dark,9,485,70,103,85,60,85,82
0963,Finizen,Water,9,315,70,45,40,45,40,75
0964,Palafin Zero Form,Water,9,457,100,70,72,53,62,100
0964,Palafin Hero Form,Water,9,650,100,160,97,106,87,100
0965,Varoom,Steel Poison,9,300,45,70,63,30,45,47
0966,Revavroom,Steel Poison,9,500,80,119,90,54,67,90
0967,Cyclizar,Dragon Normal,9,501,70,95,65,85,65,121
0968,Orthworm,Steel,9,480,70,85,145,60,55,65
0969,Glimmet,Rock Poison,9,350,48,35,42,105,60,60
0970,Glimmora,Rock Poison,9,525,83,55,90,130,81,86
0971,Greavard,Ghost,9,290,50,61,60,30,55,34
0972,Houndstone,Ghost,9,488,72,101,100,50,97,68
0973,Flamigo,Flying Fighting,9,500,82,115,74,75,64,90
0974,Cetoddle,Ice,9,334,108,68,45,30,40,43
0975,Cetitan,Ice,9,521,170,113,65,45,55,73
0976,Veluza,Water Psychic,9,478,90,102,73,78,65,70
0977,Dondozo,Water,9,530,150,100,115,65,65,35
0978,Tatsugiri Curly Form,Dragon Water,9,475,68,50,60,120,95,82
0978,Tatsugiri Droopy Form,Dragon Water,9,475,68,50,60,120,95,82
0978,Tatsugiri Stretchy Form,Dragon Water,9,475,68,50,60,120,95,82
0979,Annihilape,Fighting Ghost,9,535,110,115,80,50,90,90
0980,Clodsire,Poison Ground,9,430,130,75,60,45,100,20
0981,Farigiraf,Normal Psychic,9,520,120,90,70,110,70,60
0982,Dudunsparce Two-Segment Form,Normal,9,520,125,100,80,85,75,55
0982,Dudunsparce Three-Segment Form,Normal,9,520,125,100,80,85,75,55
0983,Kingambit,Dark Steel,9,550,100,135,120,60,85,50
0984,Great Tusk,Ground Fighting,9,570,115,131,131,53,53,87
0985,Scream Tail,Fairy Psychic,9,570,115,65,99,65,115,111
0986,Brute Bonnet,Grass Dark,9,570,111,127,99,79,99,55
0987,Flutter Mane,Ghost Fairy,9,570,55,55,55,135,135,135
0988,Slither Wing,Bug Fighting,9,570,85,135,79,85,105,81
0989,Sandy Shocks,Electric Ground,9,570,85,81,97,121,85,101
0990,Iron Treads,Ground Steel,9,570,90,112,120,72,70,106
0991,Iron Bundle,Ice Water,9,570,56,80,114,124,60,136
0992,Iron Hands,Fighting Electric,9,570,154,140,108,50,68,50
0993,Iron Jugulis,Dark Flying,9,570,94,80,86,122,80,108
0994,Iron Moth,Fire Poison,9,570,80,70,60,140,110,110
0995,Iron Thorns,Rock Electric,9,570,100,134,110,70,84,72
0996,Frigibax,Dragon Ice,9,320,65,75,45,35,45,55
