source,pokemon,category,type,name,usage
2021-06_gen4ou-0.json,Tyranitar,Stats,Raw count,,47072
2021-06_gen4ou-0.json,Tyranitar,Stats,Avg. weight,,1.0
2021-06_gen4ou-0.json,Tyranitar,Stats,Viability Ceiling,,90
2021-06_gen4ou-0.json,Tyranitar,Stats,Jolly,,3.803
2021-06_gen4ou-0.json,Tyranitar,Stats,Lonely,,5.453
2021-06_gen4ou-0.json,Tyranitar,Stats,Adamant,,3.019
2021-06_gen4ou-0.json,Tyranitar,Abilities,,Sand Stream,100.0
2021-06_gen4ou-0.json,Tyranitar,Items,,Choice Scarf,19.13
2021-06_gen4ou-0.json,Tyranitar,Items,,Choice Band,18.903
2021-06_gen4ou-0.json,Tyranitar,Items,,Passho Berry,17.656
2021-06_gen4ou-0.json,Tyranitar,Items,,Leftovers,10.614
2021-06_gen4ou-0.json,Tyranitar,Items,,Lum Berry,8.445
2021-06_gen4ou-0.json,Tyranitar,Items,,Custap Berry,6.991
2021-06_gen4ou-0.json,Tyranitar,Items,,Chople Berry,6.337
2021-06_gen4ou-0.json,Tyranitar,Items,,Shuca Berry,4.723
2021-06_gen4ou-0.json,Tyranitar,Items,,Expert Belt,2.056
2021-06_gen4ou-0.json,Tyranitar,Items,,Life Orb,1.383
2021-06_gen4ou-0.json,Tyranitar,Items,,Other,3.762
2021-06_gen4ou-0.json,Tyranitar,Spreads,,Other,58.368
2021-06_gen4ou-0.json,Tyranitar,Moves,,Crunch,86.053
2021-06_gen4ou-0.json,Tyranitar,Moves,,Stone Edge,63.955
2021-06_gen4ou-0.json,Tyranitar,Moves,,Pursuit,57.656
2021-06_gen4ou-0.json,Tyranitar,Moves,,Earthquake,39.979
2021-06_gen4ou-0.json,Tyranitar,Moves,,Superpower,36.676
2021-06_gen4ou-0.json,Tyranitar,Moves,,Fire Blast,21.333
2021-06_gen4ou-0.json,Tyranitar,Moves,,Dragon Dance,19.963
2021-06_gen4ou-0.json,Tyranitar,Moves,,Stealth Rock,19.64
2021-06_gen4ou-0.json,Tyranitar,Moves,,Ice Punch,13.828
2021-06_gen4ou-0.json,Tyranitar,Moves,,Ice Beam,6.698
2021-06_gen4ou-0.json,Tyranitar,Moves,,Fire Punch,5.953
2021-06_gen4ou-0.json,Tyranitar,Moves,,Rock Slide,2.743
2021-06_gen4ou-0.json,Tyranitar,Moves,,Aqua Tail,2.551
2021-06_gen4ou-0.json,Tyranitar,Moves,,Substitute,1.967
2021-06_gen4ou-0.json,Tyranitar,Moves,,Focus Punch,1.778
2021-06_gen4ou-0.json,Tyranitar,Moves,,Other,19.226
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Jirachi,27.239
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Starmie,23.434
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Latias,23.205
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Breloom,22.895
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Gyarados,21.255
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Metagross,20.711
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Heatran,20.52
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Infernape,18.803
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Gengar,18.691
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Lucario,16.029
2021-06_gen4ou-0.json,Tyranitar,Teammates,,Flygon,15.742
2021-06_gen4ou-0.json,Infernape,Stats,Raw count,,32015
2021-06_gen4ou-0.json,Infernape,Stats,Avg. weight,,1.0
2021-06_gen4ou-0.json,Infernape,Stats,Viability Ceiling,,86
2021-06_gen4ou-0.json,Infernape,Stats,Jolly,,4.557
2021-06_gen4ou-0.json,Infernape,Stats,Naive,,4.001
2021-06_gen4ou-0.json,Infernape,Stats,Hasty,,7.062
2021-06_gen4ou-0.json,Infernape,Abilities,,Blaze,100.0
2021-06_gen4ou-0.json,Infernape,Items,,Life Orb,40.665
2021-06_gen4ou-0.json,Infernape,Items,,Expert Belt,14.218
2021-06_gen4ou-0.json,Infernape,Items,,Focus Sash,11.179
2021-06_gen4ou-0.json,Infernape,Items,,Choice Scarf,10.573
2021-06_gen4ou-0.json,Infernape,Items,,Choice Band,9.417
2021-06_gen4ou-0.json,Infernape,Items,,Leftovers,4.832
2021-06_gen4ou-0.json,Infernape,Items,,Lum Berry,1.531
2021-06_gen4ou-0.json,Infernape,Items,,Black Belt,1.499
2021-06_gen4ou-0.json,Infernape,Items,,Nothing,0.896
2021-06_gen4ou-0.json,Infernape,Items,,Charcoal,0.831
2021-06_gen4ou-0.json,Infernape,Items,,Other,4.357
2021-06_gen4ou-0.json,Infernape,Spreads,,Other,49.252
2021-06_gen4ou-0.json,Infernape,Moves,,Close Combat,86.122
2021-06_gen4ou-0.json,Infernape,Moves,,U-turn,38.566
2021-06_gen4ou-0.json,Infernape,Moves,,Flare Blitz,31.16
2021-06_gen4ou-0.json,Infernape,Moves,,Grass Knot,28.787
2021-06_gen4ou-0.json,Infernape,Moves,,Fire Blast,26.066
2021-06_gen4ou-0.json,Infernape,Moves,,Mach Punch,22.93
2021-06_gen4ou-0.json,Infernape,Moves,,Overheat,22.911
2021-06_gen4ou-0.json,Infernape,Moves,,Hidden Power Ice,17.111
2021-06_gen4ou-0.json,Infernape,Moves,,Thunder Punch,17.055
2021-06_gen4ou-0.json,Infernape,Moves,,Stone Edge,16.021
2021-06_gen4ou-0.json,Infernape,Moves,,Earthquake,15.33
2021-06_gen4ou-0.json,Infernape,Moves,,Flamethrower,10.586
2021-06_gen4ou-0.json,Infernape,Moves,,Stealth Rock,8.274
2021-06_gen4ou-0.json,Infernape,Moves,,Fake Out,7.787
2021-06_gen4ou-0.json,Infernape,Moves,,Blaze Kick,7.259
2021-06_gen4ou-0.json,Infernape,Moves,,Swords Dance,6.734
2021-06_gen4ou-0.json,Infernape,Moves,,Fire Punch,4.326
2021-06_gen4ou-0.json,Infernape,Moves,,Nasty Plot,3.517
2021-06_gen4ou-0.json,Infernape,Moves,,Vacuum Wave,3.455
2021-06_gen4ou-0.json,Infernape,Moves,,Focus Blast,3.448
2021-06_gen4ou-0.json,Infernape,Moves,,Brick Break,2.602
2021-06_gen4ou-0.json,Infernape,Moves,,Other,19.953
2021-06_gen4ou-0.json,Infernape,Teammates,,Tyranitar,27.646
2021-06_gen4ou-0.json,Infernape,Teammates,,Scizor,22.177
2021-06_gen4ou-0.json,Infernape,Teammates,,Starmie,19.663
2021-06_gen4ou-0.json,Infernape,Teammates,,Metagross,19.328
2021-06_gen4ou-0.json,Infernape,Teammates,,Latias,17.842
2021-06_gen4ou-0.json,Infernape,Teammates,,Gengar,17.795
2021-06_gen4ou-0.json,Infernape,Teammates,,Gyarados,17.37
2021-06_gen4ou-0.json,Infernape,Teammates,,Azelf,14.793
2021-06_gen4ou-0.json,Infernape,Teammates,,Dragonite,13.575
2021-06_gen4ou-0.json,Infernape,Teammates,,Jirachi,13.362
2021-06_gen4ou-0.json,Infernape,Teammates,,Breloom,12.488
2021-06_gen4ou-0.json,Jirachi,Stats,Raw count,,29251
2021-06_gen4ou-0.json,Jirachi,Stats,Avg. weight,,1.0
2021-06_gen4ou-0.json,Jirachi,Stats,Viability Ceiling,,90
2021-06_gen4ou-0.json,Jirachi,Stats,Jolly,,2.745
2021-06_gen4ou-0.json,Jirachi,Stats,Careful,,4.523
2021-06_gen4ou-0.json,Jirachi,Stats,Bold,,3.689
2021-06_gen4ou-0.json,Jirachi,Abilities,,Serene Grace,100.0
2021-06_gen4ou-0.json,Jirachi,Items,,Leftovers,65.981
2021-06_gen4ou-0.json,Jirachi,Items,,Choice Scarf,18.533
2021-06_gen4ou-0.json,Jirachi,Items,,Shuca Berry,4.147
2021-06_gen4ou-0.json,Jirachi,Items,,Occa Berry,2.14
2021-06_gen4ou-0.json,Jirachi,Items,,Expert Belt,1.798
2021-06_gen4ou-0.json,Jirachi,Items,,Choice Band,1.614
2021-06_gen4ou-0.json,Jirachi,Items,,Damp Rock,1.34
2021-06_gen4ou-0.json,Jirachi,Items,,Other,4.448
2021-06_gen4ou-0.json,Jirachi,Spreads,,Other,65.369
2021-06_gen4ou-0.json,Jirachi,Moves,,Iron Head,77.348
2021-06_gen4ou-0.json,Jirachi,Moves,,Fire Punch,39.52
2021-06_gen4ou-0.json,Jirachi,Moves,,Body Slam,33.336
2021-06_gen4ou-0.json,Jirachi,Moves,,Wish,25.678
2021-06_gen4ou-0.json,Jirachi,Moves,,U-turn,24.05
2021-06_gen4ou-0.json,Jirachi,Moves,,Ice Punch,22.01
2021-06_gen4ou-0.json,Jirachi,Moves,,Psychic,20.727
