Rank,Pokemon,UsagePercent
1,Landorus-Therian,19.41602
2,Greninja-Ash,15.20331
3,Ferrothorn,14.60610
4,Tapu Koko,12.89908
5,Heatran,11.14848
6,Kartana,10.37288
7,Gliscor,9.49476
8,Rotom-Wash,9.42146
9,Garchomp,9.30663
10,Serperior,9.24717
11,Magearna,8.61715
12,Excadrill,8.39314
13,Toxapex,8.38340
14,Chansey,8.10812
15,Charizard-Mega-X,7.82054
16,Greninja,7.80516
17,Tapu Lele,7.53347
18,Zapdos,7.34944
19,Volcarona,6.68560
20,Clefable,6.68355
21,Charizard-Mega-Y,6.41699
22,Hawlucha,6.02688
23,Dragonite,5.91411
24,Tyranitar,5.75263
25,Azumarill,5.71572
26,Celesteela,5.67727
27,Pelipper,5.64293
28,Tornadus-Therian,5.62653
29,Swampert-Mega,5.42609
30,Scizor-Mega,5.42250
31,Mimikyu,5.30511
32,Skarmory,5.16107
33,Magnezone,5.10160
34,Kommo-o,4.93705
35,Lopunny-Mega,4.80633
36,Tapu Fini,4.63460
37,Alakazam-Mega,4.41161
38,Victini,4.15018
39,Kyurem-Black,4.06713
40,Medicham-Mega,3.98409
41,Gengar,3.90925
42,Blacephalon,3.89694
43,Tapu Bulu,3.81031
44,Mawile-Mega,3.79954
45,Sableye-Mega,3.66729
46,Weavile,3.58219
47,Venusaur-Mega,3.56681
48,Tangrowth,3.48377
49,Jirachi,3.38330
50,Gyarados-Mega,3.31717
51,Infernape,3.30025
52,Scizor,3.15210
53,Conkeldurr,3.11212
54,Keldeo,3.09520
55,Bisharp,2.93937
56,Diancie-Mega,2.93475
57,Togekiss,2.93065
58,Beedrill-Mega,2.92399
59,Breloom,2.74457
60,Gyarados,2.72560
61,Zeraora,2.67742
62,Lucario,2.50159
63,Cloyster,2.49851
64,Tyranitar-Mega,2.49646
65,Staraptor,2.47134
66,Salamence,2.34165
67,Pinsir-Mega,2.30474
68,Mew,2.24118
69,Chandelure,2.21401
70,Kingdra,2.20581
71,Garchomp-Mega,2.19914
72,Hydreigon,2.18018
73,Gallade-Mega,2.17249
74,Venusaur,2.15352
75,Ditto,2.13045
76,Amoonguss,2.11815
77,Galvantula,2.11046
78,Manaphy,2.03152
79,Shuckle,2.02588
80,Gardevoir-Mega,1.99922
81,Espeon,1.97667
82,Latios,1.89465
83,Milotic,1.87260
84,Umbreon,1.86338
85,Crawdaunt,1.85620
86,Nidoking,1.85210
87,Mamoswine,1.81263
88,Snorlax,1.80391
89,Metagross,1.78546
90,Ninetales-Alola,1.76905
91,Goodra,1.75726
92,Crobat,1.70754
93,Hoopa-Unbound,1.69421
94,Alakazam,1.69011
95,Scolipede,1.64397
96,Manectric-Mega,1.62552
97,Torkoal,1.62501
98,Marowak-Alola,1.61834
99,Arcanine,1.61117
100,Hippowdon,1.60502
101,Darmanitan,1.54401
102,Latias-Mega,1.53274
103,Krookodile,1.53120
104,Gastrodon,1.51223
105,Porygon-Z,1.50813
106,Xurkitree,1.50300
107,Blissey,1.49224
108,Salazzle,1.46815
109,Jolteon,1.45328
110,Heracross-Mega,1.40202
111,Sceptile-Mega,1.39997
112,Muk-Alola,1.39945
113,Starmie,1.37639
114,Rotom-Heat,1.30001
115,Cresselia,1.28565
116,Volcanion,1.26874
117,Araquanid,1.21952
118,Suicune,1.21286
119,Buzzwole,1.18877
120,Porygon2,1.18415
121,Azelf,1.17288
122,Gardevoir,1.16980
123,Pikachu,1.16160
124,Ribombee,1.13392
125,Quagsire,1.11854
126,Sylveon,1.11598
127,Thundurus-Therian,1.10726
128,Talonflame,1.10572
129,Nihilego,1.09855
130,Tentacruel,1.09547
131,Incineroar,1.09496
132,Empoleon,1.06830
133,Aerodactyl-Mega,1.06369
134,Latias,1.05087
135,Noivern,1.00064
136,Altaria-Mega,0.98987
137,Klefki,0.98628
138,Haxorus,0.98167
139,Reuniclus,0.97706
140,Swampert,0.97706
141,Primarina,0.96475
142,Sceptile,0.94117
143,Zoroark,0.92887
144,Roserade,0.91964
145,Mandibuzz,0.91810
146,Machamp,0.91246
147,Slowbro,0.89811
148,Electivire,0.87966
149,Latios-Mega,0.87812
150,Forretress,0.86428
151,Diggersby,0.84480
152,Decidueye,0.82276
153,Ninetales,0.81404
154,Flygon,0.80840
155,Vaporeon,0.78944
156,Whimsicott,0.77303
157,Thundurus,0.77098
158,Houndoom-Mega,0.76278
159,Smeargle,0.76227
160,Cofagrigus,0.74996
161,Feraligatr,0.74433
162,Swellow,0.73715
163,Froslass,0.73715
164,Pidgeot-Mega,0.72485
165,Ludicolo,0.72074
166,Stakataka,0.70844
167,Absol-Mega,0.70485
168,Blastoise,0.69870
169,Slurpuff,0.69665
170,Lycanroc-Dusk,0.69614
171,Entei,0.69050
172,Donphan,0.68691
173,Scrafty,0.68127
174,Politoed,0.67974
175,Blastoise-Mega,0.67768
176,Raichu-Alola,0.67307
177,Bronzong,0.66179
178,Aerodactyl,0.65308
179,Sharpedo-Mega,0.64078
180,Banette-Mega,0.63770
181,Aggron-Mega,0.63206
182,Seismitoad,0.62950
183,Terrakion,0.62796
184,Shedinja,0.62694
185,Uxie,0.62642
186,Rhyperior,0.62540
187,Toxicroak,0.61156
188,Typhlosion,0.60899
189,Slowbro-Mega,0.60284
190,Linoone,0.59669
191,Lapras,0.57824
192,Dusclops,0.57619
193,Heracross,0.57362
194,Drapion,0.57311
195,Charizard,0.56850
196,Spiritomb,0.56696
197,Golisopod,0.56542
198,Honchkrow,0.56234
199,Alomomola,0.55824
200,Doublade,0.55107
201,Chesnaught,0.54081
202,Malamar,0.50903
203,Torterra,0.49519
204,Tyrantrum,0.47776
205,Raichu,0.47571
206,Eelektross,0.46443
207,Yanmega,0.46443
