Rank,Pokemon,UsagePercent
1,Tauros,66.49404
2,Chansey,55.04398
3,Snorlax,53.44069
4,Exeggutor,49.34733
5,Alakazam,47.55250
6,Starmie,37.48581
7,Rhydon,33.53434
8,Gengar,29.29200
9,Zapdos,23.72304
10,Jynx,17.42338
11,Jolteon,15.91941
12,Lapras,13.28036
13,Slowbro,11.54228
14,Charizard,11.04569
15,Cloyster,10.44268
16,Dragonite,10.40721
17,Golem,9.08059
18,Victreebel,8.56981
19,Venusaur,7.92423
20,Persian,6.67565
21,Arcanine,4.96595
22,Nidoking,4.82406
23,Blastoise,4.17849
24,Gyarados,4.02242
25,Articuno,3.32009
26,Poliwrath,3.12855
27,Ninetales,2.53973
28,Machamp,2.32690
29,Raichu,2.29852
30,Moltres,2.25596
31,Pikachu,2.04313
32,Electrode,2.00057
33,Hypno,1.87287
34,Dodrio,1.82321
35,Aerodactyl,1.73099
36,Clefable,1.68133
37,Dugtrio,1.61039
38,Pinsir,1.54654
39,Pidgeot,1.52526
40,Sandslash,1.41884
41,Kingler,1.17054
42,Kabutops,1.09960
43,Muk,1.02157
44,Flareon,1.00028
45,Butterfree,0.98610
46,Vaporeon,0.98610
47,Hitmonlee,0.96481
48,Scyther,0.96481
49,Ditto,0.95772
50,Beedrill,0.93644
51,Kangaskhan,0.86549
52,Nidoqueen,0.74489
53,Rapidash,0.71652
54,Dewgong,0.66686
55,Omastar,0.65267
56,Magmar,0.64557
57,Raticate,0.61720
58,Onix,0.58173
59,Squirtle,0.57463
60,Golduck,0.57463
61,Vileplume,0.53207
62,Tentacruel,0.52497
63,Hitmonchan,0.50369
64,Fearow,0.48950
65,Bulbasaur,0.48241
66,Arbok,0.48241
67,Electabuzz,0.47531
68,Weezing,0.46112
69,Magneton,0.42565
70,Dragonair,0.41856
71,Primeape,0.37599
72,Tangela,0.36180
73,Marowak,0.33343
74,Lickitung,0.33343
75,Venomoth,0.30505
76,Farfetch'd,0.28377
77,Parasect,0.28377
78,Mr. Mime,0.27667
79,Eevee,0.26249
80,Kadabra,0.24120
81,Haunter,0.24120
82,Porygon,0.22701
83,Golbat,0.14898
84,Charmander,0.14898
85,Wigglytuff,0.12770
86,Seaking,0.12770
87,Rattata,0.12060
88,Seadra,0.12060
89,Pidgeotto,0.10641
90,Gastly,0.10641
91,Wartortle,0.09932
92,Jigglypuff,0.09222
93,Geodude,0.09222
94,Weedle,0.09222
95,Ivysaur,0.07804
96,Pidgey,0.07804
97,Gloom,0.07094
98,Omanyte,0.06385
99,Graveler,0.05675
100,Poliwhirl,0.05675
101,Abra,0.05675
102,Vulpix,0.05675
103,Spearow,0.05675
104,Koffing,0.04966
105,Charmeleon,0.04966
106,Machoke,0.04966
107,Zubat,0.04966
108,Bellsprout,0.04257
109,Sandshrew,0.04257
110,Oddish,0.03547
111,Slowpoke,0.03547
112,Diglett,0.03547
113,Paras,0.02838
114,Tentacool,0.02838
115,Magnemite,0.02838
116,Weepinbell,0.02838
117,Caterpie,0.02838
118,Rhyhorn,0.02838
119,Venonat,0.02838
120,Meowth,0.02128
121,Voltorb,0.02128
122,Machop,0.02128
123,Kakuna,0.02128
124,Clefairy,0.02128
125,Grimer,0.02128
126,Staryu,0.02128
127,Growlithe,0.01419
128,Mankey,0.01419
129,Psyduck,0.01419
130,Nidorino,0.01419
131,Krabby,0.01419
132,Dratini,0.00709
133,Magikarp,0.00709
134,Ekans,0.00709
135,Goldeen,0.00709
136,Poliwag,0.00709
137,Nidorina,0.00709
138,Kabuto,0.00709
139,Seel,0.00709
