Rank,Pokemon,UsagePercent
1,Tyranitar,40.82348
2,Jirachi,25.22879
3,Latias,23.94285
4,Infernape,21.99710
5,Gyarados,20.73627
6,Metagross,20.62869
7,Breloom,19.66407
8,Gengar,19.44747
9,Heatran,19.12760
10,Starmie,18.48930
11,Dragonite,18.22896
12,Scizor,17.03985
13,Flygon,14.79503
14,Azelf,14.76777
15,Skarmory,14.39053
16,Lucario,13.87773
17,Swampert,13.56073
18,Rotom-Wash,11.92983
19,Zapdos,10.88703
20,Empoleon,9.55878
21,Magnezone,9.49065
22,Bronzong,9.34075
23,Machamp,9.13420
24,Rotom-Heat,9.02447
25,Suicune,8.44211
26,Aerodactyl,8.36465
27,Gliscor,8.16097
28,Clefable,7.85975
29,Blissey,7.79807
30,Forretress,7.60299
31,Kingdra,7.44090
32,Roserade,6.51716
33,Weavile,5.72107
34,Hippowdon,4.76074
35,Celebi,4.41362
36,Togekiss,3.78894
37,Mamoswine,3.43608
38,Snorlax,3.17574
39,Jolteon,2.87882
40,Milotic,2.87165
41,Ludicolo,2.78630
42,Electivire,2.76551
43,Vaporeon,2.39974
44,Donphan,2.29216
45,Tentacruel,2.27996
46,Uxie,2.15446
47,Spiritomb,2.05190
48,Heracross,1.96010
49,Cresselia,1.93284
50,Froslass,1.84750
51,Dusknoir,1.84176
52,Raikou,1.83745
53,Abomasnow,1.79299
54,Yanmega,1.74207
55,Staraptor,1.68182
56,Crobat,1.59576
57,Alakazam,1.59146
58,Shaymin,1.53623
59,Rotom-Mow,1.52189
60,Porygon-Z,1.46308
61,Gallade,1.41359
62,Umbreon,1.39997
63,Blaziken,1.39710
64,Charizard,1.39566
65,Venusaur,1.32609
66,Nidoqueen,1.27517
67,Quagsire,1.23716
68,Hitmontop,1.22067
69,Torterra,1.15110
70,Ambipom,1.14895
71,Absol,1.08440
72,Honchkrow,1.04711
73,Claydol,1.04639
74,Slowbro,0.98758
75,Typhlosion,0.97323
76,Qwilfish,0.94813
77,Blastoise,0.93594
78,Arcanine,0.91729
79,Kabutops,0.89219
80,Lanturn,0.88215
81,Smeargle,0.87426
82,Rhyperior,0.85633
83,Feraligatr,0.84916
84,Drapion,0.84414
85,Sceptile,0.82764
86,Rotom-Frost,0.73656
87,Mismagius,0.72150
88,Aggron,0.72006
89,Walrein,0.71433
90,Houndoom,0.68922
91,Steelix,0.65695
92,Gastrodon,0.65193
93,Pikachu,0.63615
94,Gardevoir,0.62970
95,Toxicroak,0.59169
96,Registeel,0.58093
97,Weezing,0.57160
98,Azumarill,0.55367
99,Nidoking,0.54865
100,Espeon,0.54794
101,Ursaring,0.54363
102,Magmortar,0.53288
103,Luxray,0.52714
104,Magneton,0.52714
105,Swellow,0.52068
106,Rotom-Fan,0.44323
107,Cloyster,0.43892
108,Hitmonchan,0.43247
109,Hariyama,0.42099
110,Lapras,0.40665
111,Scyther,0.38442
112,Ninjask,0.37581
113,Poliwrath,0.37294
114,Hitmonlee,0.36792
115,Primeape,0.36434
116,Tangrowth,0.36003
117,Ampharos,0.35071
