source,pokemon,category,type,name,usage
2024-07_gen7doublesou-0.json,Incineroar,Stats,Raw count,,5378
2024-07_gen7doublesou-0.json,Incineroar,Stats,Avg. weight,,1.0
2024-07_gen7doublesou-0.json,Incineroar,Stats,Viability Ceiling,,94
2024-07_gen7doublesou-0.json,Incineroar,Stats,Adamant,,3.570
2024-07_gen7doublesou-0.json,Incineroar,Stats,Careful,,4.184
2024-07_gen7doublesou-0.json,Incineroar,Stats,Jolly,,2.678
2024-07_gen7doublesou-0.json,Incineroar,Abilities,,Intimidate,97.508
2024-07_gen7doublesou-0.json,Incineroar,Abilities,,Blaze,2.492
2024-07_gen7doublesou-0.json,Incineroar,Items,,Assault Vest,27.743
2024-07_gen7doublesou-0.json,Incineroar,Items,,Figy Berry,19.468
2024-07_gen7doublesou-0.json,Incineroar,Items,,Aguav Berry,14.28
2024-07_gen7doublesou-0.json,Incineroar,Items,,Incinium Z,6.582
2024-07_gen7doublesou-0.json,Incineroar,Items,,Sitrus Berry,5.69
2024-07_gen7doublesou-0.json,Incineroar,Items,,Wiki Berry,4.704
2024-07_gen7doublesou-0.json,Incineroar,Items,,Leftovers,3.793
2024-07_gen7doublesou-0.json,Incineroar,Items,,Weakness Policy,2.864
2024-07_gen7doublesou-0.json,Incineroar,Items,,Mago Berry,2.473
2024-07_gen7doublesou-0.json,Incineroar,Items,,Life Orb,1.841
2024-07_gen7doublesou-0.json,Incineroar,Items,,Safety Goggles,1.599
2024-07_gen7doublesou-0.json,Incineroar,Items,,Iapapa Berry,1.45
2024-07_gen7doublesou-0.json,Incineroar,Items,,Rocky Helmet,1.246
2024-07_gen7doublesou-0.json,Incineroar,Items,,Firium Z,1.19
2024-07_gen7doublesou-0.json,Incineroar,Items,,Charcoal,0.948
2024-07_gen7doublesou-0.json,Incineroar,Items,,Other,4.128
2024-07_gen7doublesou-0.json,Incineroar,Spreads,,Other,66.289
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Fake Out,88.509
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Flare Blitz,82.019
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Knock Off,70.175
2024-07_gen7doublesou-0.json,Incineroar,Moves,,U-turn,66.809
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Darkest Lariat,17.2
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Protect,10.785
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Will-O-Wisp,10.766
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Fire Punch,6.359
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Drain Punch,6.359
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Snarl,5.801
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Taunt,4.035
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Swords Dance,2.938
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Flame Charge,2.938
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Snatch,2.938
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Roar,2.585
2024-07_gen7doublesou-0.json,Incineroar,Moves,,Other,19.784
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Landorus-Therian,22.964
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Tapu Fini,16.791
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Tapu Koko,13.667
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Amoonguss,13.444
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Kartana,13.351
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Metagross-Mega,12.57
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Tapu Lele,11.231
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Charizard-Mega-Y,9.929
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Salamence-Mega,9.464
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Aegislash,9.26
2024-07_gen7doublesou-0.json,Incineroar,Teammates,,Gastrodon,8.721
2024-07_gen7doublesou-0.json,Landorus-Therian,Stats,Raw count,,3160
2024-07_gen7doublesou-0.json,Landorus-Therian,Stats,Avg. weight,,1.0
2024-07_gen7doublesou-0.json,Landorus-Therian,Stats,Viability Ceiling,,94
2024-07_gen7doublesou-0.json,Landorus-Therian,Stats,Jolly,,3.703
2024-07_gen7doublesou-0.json,Landorus-Therian,Stats,Adamant,,5.348
2024-07_gen7doublesou-0.json,Landorus-Therian,Stats,Modest,,7.405
2024-07_gen7doublesou-0.json,Landorus-Therian,Abilities,,Intimidate,100.0
2024-07_gen7doublesou-0.json,Landorus-Therian,Items,,Choice Scarf,29.494
2024-07_gen7doublesou-0.json,Landorus-Therian,Items,,Groundium Z,14.209
2024-07_gen7doublesou-0.json,Landorus-Therian,Items,,Yache Berry,8.892
2024-07_gen7doublesou-0.json,Landorus-Therian,Items,,Choice Band,8.671
2024-07_gen7doublesou-0.json,Landorus-Therian,Items,,Assault Vest,5.443
