Rank,Pokemon,UsagePercent
1,Incineroar,14.31029
2,Tapu Koko,11.73757
3,Landorus-Therian,10.66429
4,Charizard-Mega-Y,8.47083
5,Sceptile-Mega,7.82570
6,Aegislash,6.94596
7,Ferrothorn,6.86581
8,Whimsicott,6.72896
9,Amoonguss,6.68596
10,Gastrodon,6.47287
11,Kartana,6.33602
12,Tapu Fini,6.18353
13,Togekiss,6.08969
14,Greninja-Ash,6.03104
15,Kommo-o,5.87465
16,Tyranitar,5.79840
17,Garchomp,5.67524
18,Pelipper,5.50321
19,Salamence-Mega,5.49734
20,Zapdos,5.29598
21,Tapu Lele,5.16304
22,Swampert-Mega,5.11612
23,Zeraora,5.07312
24,Cresselia,5.06530
25,Metagross-Mega,5.00860
26,Milotic,5.00274
27,Volcarona,4.69385
28,Celesteela,4.45144
29,Gardevoir-Mega,4.42602
30,Greninja,4.25399
31,Excadrill,4.11714
32,Porygon2,4.07804
33,Clefable,3.98811
34,Shedinja,3.97638
35,Jolteon,3.85127
36,Venusaur-Mega,3.78284
37,Mew,3.69487
38,Ninetales-Alola,3.68510
39,Arcanine,3.53456
40,Politoed,3.47005
41,Torkoal,3.44855
42,Camerupt-Mega,3.43682
43,Kingdra,3.37817
44,Heatran,3.32538
45,Mimikyu,3.27260
46,Venusaur,3.24327
47,Tapu Bulu,3.02432
48,Dusclops,3.02236
49,Serperior,2.76040
50,Stakataka,2.72521
51,Tyranitar-Mega,2.69002
52,Typhlosion,2.66656
53,Volcanion,2.65483
54,Zygarde,2.60987
55,Ninetales,2.58641
56,Metagross,2.55904
57,Azumarill,2.54145
58,Blaziken-Mega,2.51994
59,Oranguru,2.51603
60,Lopunny-Mega,2.44370
61,Kyurem-Black,2.43979
62,Krookodile,2.42415
63,Chandelure,2.41437
64,Victini,2.40655
65,Infernape,2.39287
66,Gengar,2.38309
67,Lucario-Mega,2.38309
68,Terrakion,2.37723
69,Raichu,2.32835
70,Gyarados,2.32444
71,Rotom-Wash,2.31272
72,Talonflame,2.31272
73,Naganadel,2.28926
74,Blaziken,2.22474
75,Sylveon,2.22279
76,Mawile-Mega,2.20715
77,Lucario,2.19542
78,Diancie-Mega,2.17196
79,Charizard-Mega-X,2.07812
80,Clefairy,2.07030
81,Gardevoir,2.05662
82,Hawlucha,2.04293
83,Manectric-Mega,2.04098
84,Muk-Alola,2.03902
85,Primarina,2.03511
86,Hoopa-Unbound,2.02534
87,Slaking,2.00774
88,Thundurus-Therian,1.98037
89,Gothitelle,1.94909
90,Ludicolo,1.93541
91,Scrafty,1.92368
