Rank,Pokemon,UsagePercent
1,Landorus-Therian,19.34605
2,Sylveon,17.77929
3,Kangaskhan-Mega,15.46322
4,Amoonguss,14.78202
5,Gyarados,14.16894
6,Aegislash,13.76022
7,Rotom-Wash,13.28338
8,Hydreigon,13.07902
9,Talonflame,11.92098
10,Blaziken-Mega,10.62670
11,Togekiss,10.55858
12,Ferrothorn,10.21798
13,Rampardos,9.67302
14,Rotom-Mow,9.53678
15,Charizard-Mega-Y,9.12807
16,Tyranitar-Mega,9.05995
17,Excadrill,8.99183
18,Thundurus,8.37875
19,Volcanion,7.97003
20,Gardevoir,7.35695
21,Roserade,7.15259
22,Gastrodon,6.81199
23,Tyranitar,6.74387
24,Sableye,6.33515
25,Arcanine,6.26703
26,Staraptor,6.26703
27,Cresselia,5.99455
28,Snorlax,5.92643
29,Salamence-Mega,5.79019
30,Garchomp,5.72207
31,Gengar-Mega,5.65395
32,Breloom,5.58583
33,Weavile,5.51771
34,Politoed,4.97275
35,Hitmontop,4.97275
36,Whimsicott,4.63215
37,Venusaur,4.56403
38,Gardevoir-Mega,4.49591
39,Charizard-Mega-X,4.08719
40,Venusaur-Mega,3.81471
41,Conkeldurr,3.81471
42,Eelektross,3.74659
43,Azumarill,3.74659
44,Zapdos,3.74659
45,Bronzong,3.61035
46,Bisharp,3.61035
47,Heatran,3.61035
48,Kyurem-Black,3.54223
49,Trevenant,3.47411
50,Scrafty,3.40599
51,Malamar,3.40599
52,Cradily,3.33787
53,Galvantula,3.33787
54,Salamence,3.26975
55,Scizor,3.20163
56,Gengar,3.20163
57,Greninja,2.99728
58,Terrakion,2.99728
59,Swampert-Mega,2.92916
60,Camerupt-Mega,2.86104
61,Suicune,2.86104
62,Blissey,2.65668
63,Volcarona,2.58856
64,Lucario-Mega,2.52044
65,Keldeo,2.52044
66,Rhyperior,2.45232
67,Shuckle,2.45232
68,Landorus,2.38420
69,Sceptile-Mega,2.24796
70,Blaziken,2.17984
71,Abomasnow,2.17984
72,Machamp,2.11172
73,Dragonite,2.11172
74,Kingdra,2.11172
75,Mew,2.04360
76,Swampert,2.04360
77,Gliscor,1.97548
78,Latios,1.97548
79,Deoxys-Attack,1.90736
80,Chandelure,1.90736
81,Garchomp-Mega,1.90736
82,Shaymin-Sky,1.83924
83,Empoleon,1.83924
84,Absol,1.77112
85,Milotic,1.77112
86,Rotom-Frost,1.77112
87,Dusclops,1.77112
88,Serperior,1.70300
89,Umbreon,1.70300
90,Deoxys-Speed,1.70300
91,Froslass,1.70300
92,Clefable,1.70300
93,Ninetales,1.70300
94,Metagross-Mega,1.63488
95,Pikachu,1.63488
96,Uxie,1.56676
97,Infernape,1.56676
98,Murkrow,1.56676
99,Hoopa-Unbound,1.49864
100,Porygon2,1.43052
101,Metagross,1.43052
102,Raichu,1.43052
103,Ampharos-Mega,1.43052
104,Skarmory,1.43052
105,Gallade-Mega,1.36240
106,Mamoswine,1.36240
107,Gothitelle,1.36240
108,Scizor-Mega,1.36240
109,Tentacruel,1.36240
110,Ludicolo,1.36240
111,Altaria,1.29428
112,Cloyster,1.29428
113,Goodra,1.29428
114,Crobat,1.22616
115,Diancie-Mega,1.22616
116,Flygon,1.22616
117,Lapras,1.22616
118,Ambipom,1.15804
119,Darkrai,1.15804
120,Entei,1.15804
121,Espeon,1.08992
122,Diancie,1.08992
123,Mawile,1.02180
124,Klinklang,1.02180
125,Medicham-Mega,1.02180
126,Lopunny-Mega,1.02180
127,Smeargle,1.02180
128,Chatot,1.02180
129,Darmanitan,1.02180
130,Musharna,0.95368
131,Reuniclus,0.95368
132,Jolteon,0.88556
133,Lucario,0.88556
134,Blastoise-Mega,0.88556
135,Victini,0.88556
136,Piloswine,0.88556
137,Gyarados-Mega,0.88556
138,Liepard,0.81744
139,Florges,0.81744
140,Lilligant,0.81744
141,Krookodile,0.81744
142,Hippowdon,0.81744
143,Typhlosion,0.81744
144,Zebstrika,0.81744
145,Aggron,0.81744
146,Delphox,0.74932
147,Aerodactyl-Mega,0.74932
148,Rotom-Fan,0.74932
149,Sableye-Mega,0.74932
150,Manectric,0.74932
151,Jellicent,0.74932
152,Charizard,0.74932
153,Swellow,0.68120
154,Alakazam-Mega,0.68120
155,Exeggutor,0.68120
156,Sceptile,0.68120
157,Scolipede,0.68120
158,Pinsir-Mega,0.68120
159,Hariyama,0.68120
160,Pinsir,0.68120
161,Banette-Mega,0.68120
162,Zoroark,0.68120
163,Clefairy,0.68120
164,Aerodactyl,0.61308
165,Klefki,0.61308
166,Manectric-Mega,0.61308
167,Alakazam,0.61308
168,Abomasnow-Mega,0.61308
169,Luxray,0.61308
170,Lumineon,0.61308
171,Aron,0.54496
172,Glaceon,0.54496
173,Pelipper,0.54496
174,Barbaracle,0.54496
175,Slaking,0.54496
176,Nidoking,0.54496
177,Qwilfish,0.54496
178,Accelgor,0.47684
179,Spiritomb,0.47684
180,Chansey,0.47684
181,Genesect,0.47684
182,Electivire,0.47684
183,Honchkrow,0.47684
184,Togetic,0.47684
185,Latios-Mega,0.47684
186,Gogoat,0.47684
187,Torterra,0.47684
188,Aggron-Mega,0.40872
