Rank,Pokemon,UsagePercent
1,Landorus-Therian,24.88238
2,Amoonguss,20.51751
3,Kangaskhan-Mega,19.31521
4,Thundurus,17.77313
5,Aegislash,17.17198
6,Volcanion,13.43440
7,Ferrothorn,12.23210
8,Gastrodon,11.13434
9,Cresselia,10.35024
10,Garchomp,10.21955
11,Politoed,10.19341
12,Sylveon,10.06273
13,Arcanine,9.12180
14,Talonflame,8.88657
15,Rotom-Wash,8.31155
16,Whimsicott,8.02405
17,Heatran,7.71040
18,Togekiss,7.65813
19,Gliscor,7.50131
20,Charizard-Mega-Y,7.47517
21,Zapdos,7.08312
22,Salamence-Mega,7.00470
23,Snorlax,6.58651
24,Gardevoir-Mega,6.40355
25,Azumarill,6.37742
26,Conkeldurr,6.19446
27,Gengar-Mega,5.80240
28,Bisharp,5.43649
29,Scrafty,5.30580
30,Hitmontop,4.91375
31,Greninja,4.86147
32,Venusaur,4.80920
33,Clefairy,4.75693
34,Breloom,4.46942
35,Raichu,4.44328
36,Hydreigon,4.33873
37,Sableye,4.18191
38,Gothitelle,4.12964
39,Tyranitar,3.97282
40,Mawile-Mega,3.97282
41,Volcarona,3.89441
42,Gengar,3.71145
43,Porygon2,3.63304
44,Excadrill,3.47622
45,Scizor-Mega,3.37167
46,Ludicolo,3.29326
47,Kingdra,3.29326
48,Terrakion,3.24098
49,Genesect,3.11030
50,Lopunny,3.11030
51,Serperior,2.97961
52,Charizard-Mega-X,2.84893
53,Thundurus-Therian,2.82279
54,Suicune,2.77052
55,Nidoking,2.74438
56,Latios,2.71824
57,Swampert-Mega,2.61370
58,Blissey,2.61370
59,Milotic,2.61370
60,Sceptile-Mega,2.61370
61,Reuniclus,2.56142
62,Chandelure,2.48301
63,Ditto,2.40460
64,Diancie-Mega,2.37846
65,Scizor,2.35233
66,Klefki,2.30005
67,Rotom-Heat,2.27392
68,Dusclops,2.27392
69,Alakazam,2.24778
70,Landorus,2.22164
71,Weavile,2.19550
72,Ambipom,2.19550
73,Venusaur-Mega,2.16937
74,Goodra,2.16937
75,Deoxys-Speed,2.14323
76,Chansey,2.11709
77,Gardevoir,2.06482
78,Gallade-Mega,2.06482
79,Metagross,2.01255
80,Jellicent,1.98641
81,Dragonite,1.96027
82,Latias,1.93413
83,Rhyperior,1.93413
84,Empoleon,1.93413
85,Hoopa-Unbound,1.93413
86,Ninetales,1.90800
87,Banette-Mega,1.72504
88,Cloyster,1.72504
89,Kyurem-Black,1.69890
90,Crobat,1.69890
91,Bronzong,1.67277
92,Manectric-Mega,1.62049
93,Virizion,1.62049
94,Tyranitar-Mega,1.62049
95,Hariyama,1.56822
96,Lopunny-Mega,1.54208
97,Shuckle,1.54208
98,Metagross-Mega,1.51594
99,Hitmonlee,1.48981
100,Cofagrigus,1.46367
101,Clefable,1.46367
102,Mismagius,1.46367
103,Aerodactyl-Mega,1.38526
104,Roserade,1.35912
105,Heliolisk,1.33298
106,Sableye-Mega,1.30685
107,Tornadus,1.30685
108,Pangoro,1.28071
109,Cradily,1.25457
110,Porygon-Z,1.25457
111,Meowstic,1.25457
112,Altaria-Mega,1.25457
113,Blaziken-Mega,1.25457
114,Jolteon,1.22844
115,Abomasnow,1.22844
116,Azelf,1.22844
117,Slowking,1.20230
118,Garchomp-Mega,1.17616
119,Mamoswine,1.17616
120,Golduck,1.15003
121,Pikachu,1.15003
122,Salamence,1.15003
