Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0001,Bulbasaur,Grass Poison,1,318,45,49,49,65,65,45
0002,Ivysaur,Grass Poison,1,405,60,62,63,80,80,60
0003,Venusaur,Grass Poison,1,525,80,82,83,100,100,80
0003,Venusaur Mega Venusaur,Grass Poison,1,625,80,100,123,122,120,80
0004,Charmander,Fire,1,309,39,52,43,60,50,65
0005,Charmeleon,Fire,1,405,58,64,58,80,65,80
0006,Charizard,Fire Flying,1,534,78,84,78,109,85,100
0006,Charizard Mega Charizard X,Fire Dragon,1,634,78,130,111,130,85,100
0006,Charizard Mega Charizard Y,Fire Flying,1,634,78,104,78,159,115,100
0007,Squirtle,Water,1,314,44,48,65,50,64,43
0008,Wartortle,Water,1,405,59,63,80,65,80,58
0009,Blastoise,Water,1,530,79,83,100,85,105,78
0009,Blastoise Mega Blastoise,Water,1,630,79,103,120,135,115,78
0010,Caterpie,Bug,1,195,45,30,35,20,20,45
0011,Metapod,Bug,1,205,50,20,55,25,25,30
0012,Butterfree,Bug Flying,1,395,60,45,50,90,80,70
0013,Weedle,Bug Poison,1,195,40,35,30,20,20,50
0014,Kakuna,Bug Poison,1,205,45,25,50,25,25,35
0015,Beedrill,Bug Poison,1,395,65,90,40,45,80,75
0015,Beedrill Mega Beedrill,Bug Poison,1,495,65,150,40,15,80,145
0016,Pidgey,Normal Flying,1,251,40,45,40,35,35,56
0017,Pidgeotto,Normal Flying,1,349,63,60,55,50,50,71
0018,Pidgeot,Normal Flying,1,479,83,80,75,70,70,101
0018,Pidgeot Mega Pidgeot,Normal Flying,1,579,83,80,80,135,80,121
0019,Rattata,Normal,1,253,30,56,35,25,35,72
0019,Rattata Alolan Rattata,Dark Normal,1,253,30,56,35,25,35,72
0020,Raticate,Normal,1,413,55,81,60,50,70,97
0020,Raticate Alolan Raticate,Dark Normal,1,413,75,71,70,40,80,77
0021,Spearow,Normal Flying,1,262,40,60,30,31,31,70
0022,Fearow,Normal Flying,1,442,65,90,65,61,61,100
0023,Ekans,Poison,1,288,35,60,44,40,54,55
0024,Arbok,Poison,1,448,60,95,69,65,79,80
0025,Pikachu,Electric,1,320,35,55,40,50,50,90
0025,Pikachu Partner Pikachu,Electric,1,430,45,80,50,75,60,120
0026,Raichu,Electric,1,485,60,90,55,90,80,110
0026,Raichu Alolan Raichu,Electric Psychic,1,485,60,85,50,95,85,110
0027,Sandshrew,Ground,1,300,50,75,85,20,30,40
0027,Sandshrew Alolan Sandshrew,Ice Steel,1,300,50,75,90,10,35,40
0028,Sandslash,Ground,1,450,75,100,110,45,55,65
0028,Sandslash Alolan Sandslash,Ice Steel,1,450,75,100,120,25,65,65
0029,Nidoran♀,Poison,1,275,55,47,52,40,40,41
0030,Nidorina,Poison,1,365,70,62,67,55,55,56
0031,Nidoqueen,Poison Ground,1,505,90,92,87,75,85,76
0032,Nidoran♂,Poison,1,273,46,57,40,40,40,50
0033,Nidorino,Poison,1,365,61,72,57,55,55,65
0034,Nidoking,Poison Ground,1,505,81,102,77,85,75,85
0035,Clefairy,Fairy,1,323,70,45,48,60,65,35
0036,Clefable,Fairy,1,483,95,70,73,95,90,60
0037,Vulpix,Fire,1,299,38,41,40,50,65,65
0037,Vulpix Alolan Vulpix,Ice,1,299,38,41,40,50,65,65
0038,Ninetales,Fire,1,505,73,76,75,81,100,100
0038,Ninetales Alolan Ninetales,Ice Fairy,1,505,73,67,75,81,100,109
0039,Jigglypuff,Normal Fairy,1,270,115,45,20,45,25,20
0040,Wigglytuff,Normal Fairy,1,435,140,70,45,85,50,45
