Rank,Pokemon,UsagePercent
1,Tauros,59.65881
2,Chansey,56.64764
3,Alakazam,55.05100
4,Snorlax,51.56629
5,Exeggutor,50.64352
6,Starmie,30.57916
7,Gengar,28.39364
8,Zapdos,26.65736
9,Golem,20.88392
10,Rhydon,19.51797
11,Jynx,17.48422
12,Jolteon,17.15639
13,Lapras,15.71151
14,Slowbro,14.11486
15,Dragonite,14.06629
16,Cloyster,13.04031
17,Charizard,10.27198
18,Persian,6.94512
19,Venusaur,5.99806
20,Machamp,5.03885
21,Blastoise,4.33463
22,Gyarados,4.29820
23,Arcanine,3.80646
24,Articuno,3.49684
25,Nidoking,3.32686
26,Raichu,3.07188
27,Hypno,2.87761
28,Moltres,2.41015
29,Electrode,2.33730
30,Victreebel,2.09446
31,Pikachu,2.04590
32,Dugtrio,1.92448
33,Dodrio,1.84556
34,Aerodactyl,1.82127
35,Pidgeot,1.76056
36,Kingler,1.69378
37,Poliwrath,1.52987
38,Clefable,1.51773
39,Ninetales,1.42666
40,Scyther,1.31739
41,Flareon,1.31132
42,Vaporeon,1.28703
43,Sandslash,1.11098
44,Parasect,1.09883
45,Beedrill,1.07455
46,Hitmonlee,1.00170
47,Tentacruel,0.97135
48,Ditto,0.94099
49,Rapidash,0.80743
50,Butterfree,0.80136
51,Primeape,0.77101
52,Onix,0.77101
53,Kangaskhan,0.75886
54,Venomoth,0.75886
55,Electabuzz,0.72851
56,Pinsir,0.72244
57,Kabutops,0.69208
58,Fearow,0.63745
59,Magneton,0.58281
60,Magmar,0.58281
61,Arbok,0.56459
62,Muk,0.54031
63,Omastar,0.53424
64,Hitmonchan,0.49781
65,Nidoqueen,0.46746
66,Porygon,0.46139
67,Tangela,0.45532
68,Weezing,0.44925
69,Vileplume,0.44925
70,Marowak,0.43103
71,Bulbasaur,0.41889
72,Golduck,0.41889
73,Squirtle,0.41282
74,Dewgong,0.38247
75,Wigglytuff,0.37640
76,Mr. Mime,0.30355
77,Raticate,0.24284
78,Haunter,0.20034
79,Kadabra,0.19427
80,Lickitung,0.19427
81,Golbat,0.16999
82,Gastly,0.16391
83,Meowth,0.15177
84,Dragonair,0.15177
85,Geodude,0.12749
86,Charmeleon,0.10321
87,Eevee,0.10321
88,Charmander,0.10321
89,Magikarp,0.09713
90,Seadra,0.09713
91,Exeggcute,0.09106
92,Staryu,0.09106
93,Jigglypuff,0.08499
94,Venonat,0.08499
95,Rattata,0.07285
96,Wartortle,0.06678
97,Graveler,0.06678
98,Pidgeotto,0.06678
99,Farfetch'd,0.06071
100,Ivysaur,0.06071
101,Machoke,0.06071
102,Grimer,0.06071
103,Abra,0.05464
104,Ekans,0.04857
105,Poliwhirl,0.04857
106,Ponyta,0.04250
107,Pidgey,0.04250
108,Weepinbell,0.04250
109,Machop,0.04250
110,Seaking,0.04250
111,Magnemite,0.03643
112,Mankey,0.03643
113,Dratini,0.03643
114,Seel,0.03643
115,Voltorb,0.03643
116,Metapod,0.03643
117,Caterpie,0.03643
118,Koffing,0.03035
119,Doduo,0.03035
120,Vulpix,0.03035
121,Spearow,0.03035
122,Weedle,0.03035
123,Growlithe,0.02428
124,Omanyte,0.02428
125,Slowpoke,0.02428
126,Nidorino,0.02428
127,NidoranF,0.02428
128,NidoranM,0.02428
129,Gloom,0.02428
130,Kabuto,0.02428
131,Oddish,0.01821
132,Tentacool,0.01821
133,Psyduck,0.01821
134,Sandshrew,0.01821
135,Krabby,0.01821
136,Zubat,0.01821
137,Rhyhorn,0.01821
138,Cubone,0.01821
139,Paras,0.01214
140,Diglett,0.01214
141,Bellsprout,0.01214
142,Drowzee,0.01214
143,Kakuna,0.01214
144,Horsea,0.01214
145,Clefairy,0.01214
146,Shellder,0.00607
147,Goldeen,0.00607
148,Poliwag,0.00607
149,Nidorina,0.00607
