Rank,Pokemon,UsagePercent
1,Snorlax,70.16311
2,Cloyster,38.97114
3,Zapdos,33.73902
4,Gengar,29.23463
5,Exeggutor,26.16060
6,Raikou,24.24090
7,Skarmory,21.24216
8,Tyranitar,20.74028
9,Forretress,18.85822
10,Steelix,18.08030
11,Machamp,17.91719
12,Nidoking,14.68005
13,Marowak,14.34128
14,Miltank,12.97365
15,Blissey,12.40903
16,Umbreon,11.45546
17,Golem,11.29235
18,Starmie,11.04141
19,Suicune,10.18821
20,Heracross,9.53576
21,Misdreavus,8.67001
22,Vaporeon,7.95483
23,Rhydon,7.77917
24,Jolteon,7.50314
25,Houndoom,7.15182
26,Charizard,7.11418
27,Jynx,7.06399
28,Typhlosion,5.93476
29,Alakazam,5.14429
30,Espeon,4.99373
31,Scizor,4.79297
32,Smeargle,4.24090
33,Dragonite,4.20326
34,Kingdra,4.16562
35,Venusaur,4.05270
36,Quagsire,3.55082
37,Clefable,3.21205
38,Meganium,2.94856
39,Blastoise,2.50941
40,Aerodactyl,2.34630
41,Feraligatr,2.32120
42,Golduck,2.03262
43,Rapidash,2.03262
44,Ampharos,2.02008
45,Pikachu,2.00753
46,Lapras,1.91970
47,Electabuzz,1.88206
48,Moltres,1.86951
49,Arcanine,1.83187
50,Muk,1.73149
51,Tentacruel,1.51819
52,Entei,1.46801
53,Raichu,1.44291
54,Tauros,1.31744
55,Crobat,1.25471
56,Victreebel,1.22961
57,Porygon2,1.21706
58,Donphan,1.11669
59,Sandslash,1.04141
60,Shuckle,0.89084
61,Hypno,0.82811
62,Articuno,0.79046
63,Lanturn,0.79046
64,Kangaskhan,0.77792
65,Poliwrath,0.74028
66,Gyarados,0.74028
67,Jumpluff,0.74028
68,Nidoqueen,0.70263
69,Electrode,0.70263
70,Bellossom,0.67754
71,Pidgeot,0.67754
72,Slowking,0.65245
73,Piloswine,0.61481
74,Haunter,0.60226
75,Noctowl,0.58971
76,Weezing,0.57716
77,Ursaring,0.57716
78,Xatu,0.57716
79,Vileplume,0.55207
80,Ninetales,0.53952
81,Dragonair,0.50188
82,Scyther,0.47679
83,Magmar,0.47679
84,Gligar,0.40151
85,Mr. Mime,0.38896
86,Beedrill,0.35132
87,Chansey,0.35132
88,Dodrio,0.35132
89,Hitmontop,0.33877
90,Dewgong,0.31368
91,Magneton,0.31368
92,Dugtrio,0.30113
93,Flareon,0.28858
94,Delibird,0.27604
95,Kabutops,0.26349
96,Bayleef,0.26349
97,Qwilfish,0.26349
98,Sneasel,0.26349
99,Fearow,0.25094
100,Furret,0.25094
101,Butterfree,0.23839
102,Slowbro,0.23839
103,Togetic,0.23839
104,Venomoth,0.23839
105,Politoed,0.22585
106,Persian,0.22585
107,Primeape,0.21330
108,Sudowoodo,0.21330
109,Omastar,0.20075
110,Girafarig,0.20075
111,Hitmonlee,0.18821
112,Hitmonchan,0.18821
113,Ditto,0.17566
114,Ledian,0.17566
115,Magcargo,0.17566
116,Octillery,0.17566
117,Stantler,0.16311
118,Farfetch'd,0.15056
119,Mantine,0.15056
120,Houndour,0.13802
121,Totodile,0.13802
122,Kingler,0.13802
123,Ariados,0.13802
124,Corsola,0.12547
125,Raticate,0.12547
126,Murkrow,0.12547
127,Wobbuffet,0.11292
128,Azumarill,0.11292
129,Arbok,0.11292
130,Parasect,0.11292
131,Sunflora,0.11292
132,Tangela,0.10038
133,Bulbasaur,0.10038
134,Wigglytuff,0.10038
135,Granbull,0.10038
136,Eevee,0.10038
137,Cyndaquil,0.10038
138,Onix,0.10038
139,Squirtle,0.08783
140,Seel,0.07528
141,Aipom,0.07528
142,Quilava,0.07528
143,Pinsir,0.06274
144,Smoochum,0.06274
145,Gastly,0.06274
146,Jigglypuff,0.06274
147,Pichu,0.06274
148,Togepi,0.06274
149,Seaking,0.06274
150,Dunsparce,0.06274
151,Magnemite,0.05019
152,Lickitung,0.05019
153,Magby,0.05019
154,Bellsprout,0.03764
155,Cubone,0.03764
156,Zubat,0.03764
157,Charmander,0.03764
158,Diglett,0.03764
159,Pupitar,0.03764
160,Kakuna,0.03764
161,Graveler,0.02509
162,Pineco,0.02509
163,Charmeleon,0.02509
164,Igglybuff,0.02509
165,Croconaw,0.02509
166,Skiploom,0.02509
167,Metapod,0.02509
168,Pidgey,0.02509
169,Elekid,0.02509
170,Porygon,0.02509
171,Weedle,0.02509
172,Venonat,0.02509
173,Clefairy,0.02509
174,Unown,0.01255
175,Kadabra,0.01255
176,Growlithe,0.01255
177,Cleffa,0.01255
178,Wartortle,0.01255
179,Magikarp,0.01255
180,Pidgeotto,0.01255
181,Tyrogue,0.01255
182,Rattata,0.01255
183,Hoothoot,0.01255
184,Vulpix,0.01255
185,Ekans,0.01255
186,Wooper,0.01255
187,Voltorb,0.01255
188,Ivysaur,0.01255
189,Machoke,0.01255
190,Sandshrew,0.01255
191,Nidorina,0.01255
192,Poliwhirl,0.01255
193,Flaaffy,0.01255
194,Horsea,0.01255
195,Sentret,0.01255
196,Rhyhorn,0.01255
197,Phanpy,0.01255
198,Grimer,0.01255
