Rank,Pokemon,UsagePercent
1,Great Tusk,27.86018
2,Kingambit,24.74617
3,Iron Valiant,17.24288
4,Gholdengo,16.96656
5,Ursaluna-Bloodmoon,16.88747
6,Gliscor,15.27343
7,Dragapult,14.37316
8,Cinderace,12.47214
9,Ogerpon-Wellspring,12.40284
10,Iron Moth,12.20212
11,Ogerpon-Hearthflame,12.04269
12,Ninetales-Alola,11.25069
13,Walking Wake,10.65480
14,Corviknight,10.41226
15,Dragonite,8.92051
16,Zapdos,8.82332
17,Glimmora,8.74282
18,Manaphy,8.45542
19,Samurott-Hisui,8.28428
20,Roaring Moon,7.54719
21,Garchomp,7.32132
22,Clefable,7.22065
23,Empoleon,7.18584
24,Greninja,6.81204
25,Sneasler,6.77552
26,Torkoal,6.66377
27,Enamorus,6.47961
28,Torterra,6.42110
29,Ribombee,6.02942
30,Zamazenta,5.88547
31,Kommo-o,5.73002
32,Heatran,5.70736
33,Slowking-Galar,5.70624
34,Landorus-Therian,5.65782
35,Rotom-Wash,5.63736
36,Garganacl,5.34431
37,Clodsire,5.30493
38,Meowscarada,5.29655
39,Hatterene,5.28962
40,Munkidori,5.27232
41,Pelipper,4.82216
42,Amoonguss,4.75988
43,Rillaboom,4.74975
44,Ogerpon-Cornerstone,4.56397
45,Dondozo,4.34002
46,Toxapex,4.12785
47,Chandelure,4.07394
48,Okidogi,3.93306
49,Sinistcha,3.82604
50,Ogerpon,3.70931
51,Fezandipiti,3.67379
52,Mandibuzz,3.59773
53,Moltres,3.58964
54,Ceruledge,3.49275
55,Infernape,3.48291
56,Azumarill,3.45594
57,Scizor,3.45536
58,Iron Treads,3.38502
59,Ting-Lu,3.37531
60,Crawdaunt,3.17451
61,Cresselia,3.02865
62,Jirachi,2.90561
63,Conkeldurr,2.82436
64,Mamoswine,2.79976
65,Tyranitar,2.75697
66,Weezing-Galar,2.74436
67,Skeledirge,2.64560
68,Sandy Shocks,2.60128
69,Alomomola,2.40533
70,Ambipom,2.28180
71,Milotic,2.22673
72,Ninetales,2.10428
73,Quaquaval,1.97186
74,Grimmsnarl,1.89767
75,Weavile,1.88306
76,Dipplin,1.87207
77,Blissey,1.86161
78,Tornadus-Therian,1.84339
79,Hoopa-Unbound,1.79617
80,Goodra-Hisui,1.72824
81,Maushold,1.72197
82,Baxcalibur,1.66508
83,Iron Hands,1.59736
84,Shiftry,1.49046
85,Breloom,1.47291
86,Thundurus-Therian,1.46951
87,Barraskewda,1.45706
88,Zoroark-Hisui,1.40735
89,Lilligant-Hisui,1.40689
90,Ursaluna,1.37606
91,Armarouge,1.34876
92,Yanmega,1.29601
93,Arcanine-Hisui,1.22339
94,Mienshao,1.21563
95,Scream Tail,1.21402
96,Basculegion,1.15090
97,Vikavolt,1.14650
98,Ditto,1.03264
99,Snorlax,1.02334
100,Slowking,0.99454
101,Sandslash-Alola,0.97707
102,Volcanion,0.96715
103,Gengar,0.91429
104,Magnezone,0.87358
105,Kleavor,0.87134
106,Hydreigon,0.83159
107,Polteageist,0.80445
108,Politoed,0.80333
109,Cloyster,0.80113
110,Haxorus,0.79353
111,Gyarados,0.73673
112,Cramorant,0.73382
113,Azelf,0.71357
114,Pawmot,0.70091
115,Golem-Alola,0.67681
116,Basculegion-F,0.66585
117,Frosmoth,0.66556
118,Ludicolo,0.65510
119,Espeon,0.65166
120,Morpeko,0.64568
121,Brambleghast,0.64556
122,Lokix,0.64153
123,Mimikyu,0.62892
124,Talonflame,0.61830
125,Dusknoir,0.61738
126,Ariados,0.61286
127,Mew,0.60892
128,Enamorus-Therian,0.59809
129,Floatzel,0.59788
130,Forretress,0.58605
131,Gastrodon,0.57194
132,Leavanny,0.55920
133,Toedscruel,0.55800
134,Salamence,0.55393
135,Furret,0.53132
