source,pokemon,category,type,name,usage
2025-05_gen7doublesou-0.json,Incineroar,Stats,Raw count,,5802
2025-05_gen7doublesou-0.json,Incineroar,Stats,Avg. weight,,1.0
2025-05_gen7doublesou-0.json,Incineroar,Stats,Viability Ceiling,,95
2025-05_gen7doublesou-0.json,Incineroar,Stats,Adamant,,14.254
2025-05_gen7doublesou-0.json,Incineroar,Stats,Careful,,3.809
2025-05_gen7doublesou-0.json,Incineroar,Stats,Sassy,,2.844
2025-05_gen7doublesou-0.json,Incineroar,Stats,Brave,,2.982
2025-05_gen7doublesou-0.json,Incineroar,Abilities,,Intimidate,98.949
2025-05_gen7doublesou-0.json,Incineroar,Abilities,,Blaze,1.051
2025-05_gen7doublesou-0.json,Incineroar,Items,,Assault Vest,32.575
2025-05_gen7doublesou-0.json,Incineroar,Items,,Figy Berry,18.597
2025-05_gen7doublesou-0.json,Incineroar,Items,,Aguav Berry,12.565
2025-05_gen7doublesou-0.json,Incineroar,Items,,Safety Goggles,8.652
2025-05_gen7doublesou-0.json,Incineroar,Items,,Incinium Z,5.843
2025-05_gen7doublesou-0.json,Incineroar,Items,,Eject Button,4.705
2025-05_gen7doublesou-0.json,Incineroar,Items,,Wiki Berry,3.706
2025-05_gen7doublesou-0.json,Incineroar,Items,,Leftovers,2.964
2025-05_gen7doublesou-0.json,Incineroar,Items,,Sitrus Berry,2.051
2025-05_gen7doublesou-0.json,Incineroar,Items,,Mago Berry,1.706
2025-05_gen7doublesou-0.json,Incineroar,Items,,Rocky Helmet,1.517
2025-05_gen7doublesou-0.json,Incineroar,Items,,Firium Z,1.069
2025-05_gen7doublesou-0.json,Incineroar,Items,,Other,4.05
2025-05_gen7doublesou-0.json,Incineroar,Spreads,,Other,64.357
2025-05_gen7doublesou-0.json,Incineroar,Moves,,Fake Out,95.364
2025-05_gen7doublesou-0.json,Incineroar,Moves,,Flare Blitz,90.624
2025-05_gen7doublesou-0.json,Incineroar,Moves,,Knock Off,67.408
2025-05_gen7doublesou-0.json,Incineroar,Moves,,U-turn,56.877
