Rank,Pokemon,UsagePercent
1,Tapu Koko,10.84527
2,Marowak-Alola,9.28667
3,Oranguru,9.14979
4,Charizard-Mega-Y,8.86645
5,Garchomp,8.70872
6,Landorus-Therian,8.37960
7,Tapu Lele,8.27988
8,Arcanine,7.90617
9,Pelipper,7.44257
10,Mimikyu,7.38935
11,Volcarona,7.01564
12,Celesteela,7.01324
13,Muk-Alola,6.70234
14,Tapu Fini,5.88108
15,Greninja-Ash,5.53015
16,Tapu Bulu,5.52391
17,Metagross-Mega,5.39735
18,Heatran,5.37409
19,Kartana,5.36427
20,Ninetales-Alola,5.06295
21,Salamence-Mega,4.93494
22,Tyranitar,4.84433
23,Shedinja,4.73287
24,Gastrodon,4.71105
25,Porygon2,4.57537
26,Toxapex,4.21077
27,Kangaskhan-Mega,4.18992
28,Araquanid,4.05352
29,Aegislash,4.01301
30,Greninja,3.97945
31,Oricorio-Pom-Pom,3.97274
32,Weavile,3.84425
33,Comfey,3.83059
34,Whimsicott,3.81597
35,Jirachi,3.69108
36,Raichu-Alola,3.60023
37,Pheromosa,3.55636
38,Politoed,3.55013
39,Ferrothorn,3.50794
40,Kingdra,3.44058
41,Togekiss,3.43938
42,Zapdos,3.43531
43,Snorlax,3.42740
44,Xurkitree,3.42380
45,Venusaur-Mega,3.29819
46,Torkoal,3.28093
47,Milotic,3.25289
48,Clefable,3.16587
49,Excadrill,3.09084
50,Gyarados-Mega,2.98800
51,Sylveon,2.98153
52,Serperior,2.92736
53,Alakazam-Mega,2.89715
54,Hoopa-Unbound,2.89092
55,Ribombee,2.87318
56,Scizor-Mega,2.77634
57,Charizard-Mega-X,2.75716
58,Dragonite,2.71401
59,Gengar-Mega,2.64737
60,Gigalith,2.61118
61,Audino,2.56372
62,Gyarados,2.50642
63,Shuckle,2.50331
64,Porygon-Z,2.49420
65,Smeargle,2.43691
66,Lilligant,2.43379
67,Rotom-Wash,2.42324
68,Vikavolt,2.42300
69,Venusaur,2.39424
70,Magnezone,2.30219
71,Raichu,2.24226
72,Ninetales,2.16340
73,Azumarill,2.15309
74,Salamence,2.14925
75,Jolteon,2.14038
76,Golem-Alola,2.12552
77,Cradily,2.11641
78,Drampa,2.09436
79,Salazzle,2.08789
80,Espeon,2.08070
81,Bronzong,2.05673
82,Zygarde,2.05577
83,Lucario-Mega,2.05577
84,Nihilego,2.01502
85,Mamoswine,2.01430
86,Aerodactyl-Mega,2.00734
87,Mudsdale,2.00135
88,Heliolisk,1.98841
89,Talonflame,1.98601
90,Gardevoir,1.96875
91,Sableye-Mega,1.96707
92,Terrakion,1.94981
93,Ludicolo,1.94382
94,Goodra,1.93255
95,Golisopod,1.91625
96,Amoonguss,1.88246
97,Typhlosion,1.85177
98,Electivire,1.84650
99,Chansey,1.83931
100,Slowbro-Mega,1.78178
101,Thundurus-Therian,1.77171
102,Krookodile,1.75037
103,Hydreigon,1.64970
104,Gengar,1.63723
105,Blaziken,1.63627
106,Infernape,1.62453
107,Togedemaru,1.62093
108,Cresselia,1.60535
109,Breloom,1.59288
110,Sandslash-Alola,1.58042
111,Staraptor,1.53559
112,Thundurus,1.52481
113,Oricorio-Sensu,1.52145
114,Deoxys-Attack,1.51929
115,Skarmory,1.50850
116,Mew,1.50731
117,Latios,1.48381
118,Primarina,1.47087
119,Cloyster,1.46176
120,Nidoking,1.45385
121,Chandelure,1.45073
122,Lucario,1.44858
123,Lapras,1.43923
124,Victini,1.43827
125,Volcanion,1.43803
126,Palossand,1.43036
127,Gliscor,1.42844
128,Wishiwashi,1.38409
129,Scrafty,1.38002
130,Machamp,1.37475
131,Exeggutor-Alola,1.36875
132,Ambipom,1.36803
133,Oricorio,1.36324
134,Sableye,1.35892
135,Incineroar,1.34814
136,Cofagrigus,1.33735
137,Crobat,1.33208
138,Lanturn,1.30643
139,Buzzwole,1.30499
140,Blastoise-Mega,1.29133
141,Umbreon,1.28701
142,Persian-Alola,1.25513
143,Metagross,1.25393
144,Manectric,1.24866
145,Bisharp,1.24626
146,Tsareena,1.23212
147,Malamar,1.22900
148,Hariyama,1.19640
149,Scolipede,1.19161
150,Eelektross,1.18298
151,Minior,1.18250
152,Noivern,1.17962
153,Decidueye,1.17914
154,Slaking,1.16380
155,Swampert,1.15757
156,Lycanroc,1.15541
157,Suicune,1.14582
158,Dusclops,1.13983
159,Rhyperior,1.12904
160,Klefki,1.12521
161,Reuniclus,1.11370
162,Garchomp-Mega,1.11322
163,Shaymin-Sky,1.10507
164,Exploud,1.07822
165,Scizor,1.07367
166,Hitmontop,1.06504
167,Vaporeon,1.04994
168,Meowstic,1.03963
169,Genesect,1.03196
170,Diancie,1.02045
171,Trevenant,1.01877
172,Gallade,1.01566
173,Pinsir-Mega,1.00367
174,Kommo-o,0.99408
175,Conkeldurr,0.98617
176,Spinda,0.97515
177,Froslass,0.96820
178,Kyurem-Black,0.96220
179,Slowbro,0.95261
180,Carbink,0.92625
181,Seaking,0.91714
182,Blastoise,0.89556
183,Dhelmise,0.89221
184,Regigigas,0.88478
185,Ditto,0.87950
186,Beartic,0.86584
187,Hawlucha,0.86464
188,Murkrow,0.86344
189,Hippowdon,0.85625
190,Aerodactyl,0.85026
191,Blissey,0.84930
192,Leafeon,0.83324
193,Passimian,0.82892
194,Drapion,0.82796
195,Pyukumuku,0.82101
196,Crabominable,0.81023
197,Manaphy,0.80975
198,Dugtrio,0.79512
199,Gothitelle,0.78985
200,Toxicroak,0.77307
201,Toucannon,0.77187
202,Aromatisse,0.76971
203,Galvantula,0.76588
204,Charizard,0.75389
205,Tangrowth,0.74838
206,Mandibuzz,0.74502
207,Tauros,0.73831
208,Haxorus,0.72968
209,Sceptile,0.72776
210,Darmanitan,0.72681
211,Shiinotic,0.72393
212,Aurorus,0.72153
213,Starmie,0.71961
214,Clefairy,0.70044
215,Darkrai,0.69972
216,Swoobat,0.69948
217,Tentacruel,0.69852
218,Empoleon,0.69828
219,Alakazam,0.69636
220,Pachirisu,0.69133
221,Pikachu,0.68246
222,Jellicent,0.68150
223,Togetic,0.68078
224,Stoutland,0.67982
225,Glaceon,0.67862
226,Lurantis,0.65921
227,Bewear,0.63931
228,Flygon,0.62996
