Rank,Pokemon,UsagePercent
1,Incineroar,15.10532
2,Landorus-Therian,10.87886
3,Tapu Koko,10.66731
4,Charizard-Mega-Y,9.45778
5,Whimsicott,7.45723
6,Garchomp,7.03872
7,Amoonguss,6.77658
8,Sceptile-Mega,6.72369
9,Greninja-Ash,6.42706
10,Kartana,6.22701
11,Milotic,6.12583
12,Togekiss,5.99936
13,Aegislash,5.95337
14,Ferrothorn,5.94187
15,Tapu Lele,5.89358
16,Gastrodon,5.84759
17,Tapu Fini,5.81540
18,Zapdos,5.63834
19,Pelipper,5.58775
20,Salamence-Mega,5.52336
21,Zeraora,5.50267
22,Tyranitar,5.25662
23,Swampert-Mega,4.93469
24,Greninja,4.90250
25,Volcarona,4.85881
26,Porygon2,4.65186
27,Metagross-Mega,4.63346
28,Kommo-o,4.62656
29,Cresselia,4.61737
30,Politoed,4.61047
31,Shedinja,4.39662
32,Gardevoir-Mega,4.22645
33,Venusaur-Mega,4.20116
34,Arcanine,4.18506
35,Torkoal,4.12758
36,Ninetales-Alola,3.98731
37,Serperior,3.77345
38,Celesteela,3.76196
39,Excadrill,3.67228
40,Kingdra,3.50901
41,Mew,3.48832
42,Camerupt-Mega,3.46302
43,Clefable,3.26757
44,Oranguru,3.19628
45,Heatran,3.18709
46,Dusclops,3.10890
47,Charizard-Mega-X,3.08361
48,Tapu Bulu,3.06291
49,Ninetales,3.01003
50,Venusaur,2.95484
51,Mimikyu,2.92265
52,Shuckle,2.69040
53,Ludicolo,2.63061
54,Jolteon,2.56852
55,Espeon,2.54093
56,Gliscor,2.52713
57,Bronzong,2.51564
58,Xurkitree,2.51334
59,Stakataka,2.49264
60,Zygarde,2.44665
61,Chandelure,2.43975
62,Azumarill,2.42366
63,Victini,2.39146
64,Metagross,2.35467
65,Blaziken-Mega,2.32248
66,Terrakion,2.30178
67,Bisharp,2.29719
68,Gengar,2.27189
69,Diancie-Mega,2.26959
70,Mawile-Mega,2.23740
71,Krookodile,2.23280
72,Blissey,2.21670
73,Lucario-Mega,2.21440
74,Smeargle,2.20751
75,Tyranitar-Mega,2.16152
76,Dragonite,2.13392
77,Gyarados,2.09943
78,Hoopa-Unbound,2.05574
79,Clefairy,2.04884
80,Sylveon,2.02815
81,Volcanion,2.02585
82,Gardevoir,2.02125
83,Rotom-Wash,2.01895
84,Infernape,2.01895
85,Gothitelle,1.97986
86,Raichu,1.97526
87,Lucario,1.97296
88,Malamar,1.94077
89,Chansey,1.93387
90,Talonflame,1.93387
91,Scizor-Mega,1.92697
92,Blaziken,1.92697
93,Lanturn,1.90167
94,Slaking,1.87868
95,Primarina,1.87178
96,Rhyperior,1.86028
97,Breloom,1.85568
98,Genesect,1.85338
99,Lapras,1.84879
100,Diancie,1.84649
101,Muk-Alola,1.84649
102,Blacephalon,1.82809
103,Manectric-Mega,1.80740
104,Lopunny-Mega,1.79130
105,Toxapex,1.78900
106,Comfey,1.73841
107,Kyurem-Black,1.72921
108,Thundurus-Therian,1.72921
109,Scrafty,1.63263
110,Typhlosion,1.62114
111,Conkeldurr,1.61884
112,Weavile,1.61654
113,Pheromosa,1.60964
114,Salamence,1.60044
115,Umbreon,1.57055
116,Suicune,1.56825
117,Electivire,1.56825
118,Darkrai,1.55675
119,Gyarados-Mega,1.55445
120,Staraptor,1.55215
121,Raichu-Alola,1.53836
122,Garchomp-Mega,1.49237
123,Lilligant,1.47167
124,Hydreigon,1.45327
125,Noivern,1.42108
126,Scizor,1.42108
127,Aerodactyl-Mega,1.39579
128,Empoleon,1.37279
129,Audino-Mega,1.37049
130,Naganadel,1.36819
131,Oricorio-Pom-Pom,1.34520
132,Bruxish,1.33140
133,Magnezone,1.29691
134,Sceptile,1.29461
135,Sableye,1.29001
136,Hitmontop,1.26472
137,Cofagrigus,1.25552
138,Gigalith,1.25092
139,Thundurus,1.24402
140,Klefki,1.22563
141,Nidoking,1.22333
142,Heracross-Mega,1.21413
143,Starmie,1.21183
144,Blastoise-Mega,1.20033
145,Ambipom,1.18883
146,Ribombee,1.18883
147,Marowak-Alola,1.17964
148,Gallade-Mega,1.17734
149,Reuniclus,1.14974
150,Carbink,1.14514
151,Houndoom-Mega,1.12445
152,Mr. Mime,1.11985
153,Porygon-Z,1.11755
154,Alakazam,1.11295
155,Roserade,1.11295
156,Trevenant,1.10375
157,Alakazam-Mega,1.09915
158,Meowstic,1.09226
159,Audino,1.08306
160,Hawlucha,1.07616
161,Ditto,1.06466
162,Scolipede,1.05776
163,Goodra,1.04627
164,Zoroark,1.04167
165,Crobat,1.03247
166,Tsareena,1.02557
167,Vaporeon,1.01407
168,Heliolisk,1.00487
169,Shaymin-Sky,1.00258
170,Eelektross,1.00028
171,Pachirisu,1.00028
172,Crabominable,0.97498
173,Swampert,0.97268
174,Hariyama,0.97038
175,Cradily,0.97038
176,Decidueye,0.96578
177,Salazzle,0.94279
178,Charizard,0.93129
179,Luxray,0.92899
180,Galvantula,0.92209
181,Toxicroak,0.90830
182,Haxorus,0.90140
183,Togedemaru,0.88530
184,Lopunny,0.87610
185,Lycanroc-Dusk,0.86921
186,Manectric,0.86231
187,Beedrill-Mega,0.85771
