Rank,Pokemon,UsagePercent
1,Incineroar,22.36617
2,Landorus-Therian,15.08565
3,Tapu Koko,14.50749
4,Milotic,13.38330
5,Tapu Lele,10.39615
6,Pelipper,9.72163
7,Tapu Fini,9.36831
8,Charizard-Mega-Y,8.64026
9,Metagross-Mega,8.07281
10,Swampert-Mega,7.90150
11,Aegislash,7.84797
12,Ferrothorn,7.66595
13,Amoonguss,7.59101
14,Kartana,7.46253
15,Garchomp,7.31263
16,Kommo-o,6.77730
17,Zapdos,6.60600
18,Togekiss,6.37045
19,Gastrodon,6.08137
20,Zeraora,5.84582
21,Salamence-Mega,5.84582
22,Celesteela,5.81370
23,Torkoal,5.53533
24,Tyranitar,5.51392
25,Greninja,5.24625
26,Sceptile-Mega,5.20343
27,Porygon2,4.98929
28,Cradily,4.65739
29,Serperior,4.64668
30,Whimsicott,4.51820
31,Zygarde,4.49679
32,Darmanitan,4.27195
33,Ninetales-Alola,4.25054
34,Tapu Bulu,4.23983
35,Gothitelle,4.17559
36,Ludicolo,4.13276
37,Venusaur-Mega,4.07923
38,Staraptor,3.98287
39,Cresselia,3.94004
40,Politoed,3.91863
41,Bisharp,3.77944
42,Typhlosion,3.76874
43,Clefable,3.67238
44,Raichu,3.61884
45,Bronzong,3.55460
46,Stakataka,3.49036
47,Kingdra,3.45824
48,Vaporeon,3.43683
49,Gyarados,3.40471
50,Excadrill,3.39400
51,Volcanion,3.25482
52,Gardevoir-Mega,3.23340
53,Xurkitree,2.91221
54,Mew,2.91221
55,Venusaur,2.89079
56,Smeargle,2.86938
57,Kyurem-Black,2.83726
58,Mimikyu,2.82655
59,Blaziken-Mega,2.78373
60,Shuckle,2.69807
61,Sylveon,2.62313
62,Jolteon,2.60171
63,Blaziken,2.55889
64,Mamoswine,2.55889
65,Primarina,2.53747
66,Victini,2.53747
67,Tyranitar-Mega,2.52677
68,Krookodile,2.50535
69,Dusclops,2.49465
70,Tangrowth,2.40899
71,Naganadel,2.26981
72,Chandelure,2.26981
73,Gliscor,2.25910
74,Charizard-Mega-X,2.24839
75,Volcarona,2.22698
76,Drampa,2.17345
77,Shedinja,2.16274
78,Heatran,2.11991
79,Muk-Alola,2.10921
80,Arcanine,2.08779
81,Dragonite,2.08779
82,Mawile-Mega,1.99143
83,Metagross,1.97002
84,Gengar,1.84154
85,Comfey,1.83084
86,Ninetales,1.82013
87,Hoopa-Unbound,1.82013
88,Infernape,1.82013
89,Genesect,1.78801
90,Rotom-Wash,1.78801
91,Manectric-Mega,1.77730
92,Diancie,1.75589
93,Deoxys-Attack,1.75589
94,Azumarill,1.72377
95,Scrafty,1.72377
96,Steelix-Mega,1.71306
97,Arbok,1.69165
98,Breloom,1.64882
99,Umbreon,1.60600
100,Camerupt-Mega,1.59529
101,Tsareena,1.58458
102,Suicune,1.57388
103,Lickilicky,1.56317
104,Diancie-Mega,1.56317
105,Marowak-Alola,1.56317
106,Crobat,1.52034
107,Goodra,1.52034
108,Scizor-Mega,1.49893
109,Altaria-Mega,1.47752
110,Clefairy,1.46681
111,Cofagrigus,1.43469
112,Meowstic,1.41328
113,Empoleon,1.38116
114,Froslass,1.38116
115,Toxapex,1.35974
116,Lilligant,1.33833
117,Swampert,1.28480
118,Decidueye,1.28480
119,Espeon,1.27409
120,Hitmontop,1.26338
121,Shaymin-Sky,1.25268
122,Deoxys-Speed,1.25268
123,Alakazam-Mega,1.22056
124,Lucario-Mega,1.20985
125,Hydreigon,1.16702
126,Beedrill-Mega,1.14561
127,Raichu-Alola,1.14561
128,Latias,1.13490
129,Klefki,1.13490
130,Illumise,1.13490
131,Oranguru,1.12420
132,Blacephalon,1.12420
133,Talonflame,1.12420
134,Eelektross,1.10278
135,Rhyperior,1.10278
136,Wobbuffet,1.08137
137,Lopunny-Mega,1.08137
138,Garchomp-Mega,1.07066
139,Hariyama,1.07066
140,Blissey,1.05996
141,Leafeon,1.04925
142,Gardevoir,1.04925
143,Electivire,1.04925
144,Araquanid,1.02784
145,Braviary,1.02784
146,Sableye-Mega,1.00642
147,Skarmory,0.99572
148,Flygon,0.99572
149,Emolga,0.97430
150,Banette-Mega,0.97430
151,Terrakion,0.97430
152,Sableye,0.97430
153,Pachirisu,0.96360
154,Togedemaru,0.96360
155,Gyarados-Mega,0.96360
156,Salamence,0.95289
157,Rotom-Heat,0.92077
158,Audino,0.92077
159,Jellicent,0.92077
160,Audino-Mega,0.91006
161,Scizor,0.89936
162,Lapras,0.88865
163,Cinccino,0.87794
164,Ribombee,0.87794
165,Tornadus,0.85653
166,Delphox,0.85653
167,Weavile,0.84582
168,Salazzle,0.84582
169,Camerupt,0.83512
170,Nihilego,0.83512
171,Galvantula,0.82441
172,Florges,0.82441
173,Blastoise-Mega,0.81370
174,Chansey,0.80300
175,Pikachu,0.79229
176,Aerodactyl-Mega,0.79229
177,Conkeldurr,0.78158
178,Wailord,0.77088
179,Persian-Alola,0.77088
180,Drapion,0.77088
181,Zoroark,0.76017
182,Gallade,0.76017
183,Magnezone,0.74946
184,Regigigas,0.73876
185,Pheromosa,0.73876
186,Hawlucha,0.73876
187,Machamp,0.71734
188,Carbink,0.70664
189,Oricorio-Sensu,0.70664
190,Noivern,0.69593
191,Malamar,0.69593
192,Nidoqueen,0.68522
193,Mr. Mime,0.67452
194,Manectric,0.65310
195,Murkrow,0.65310
196,Landorus,0.65310
197,Slaking,0.64240
198,Alakazam,0.63169
199,Ampharos-Mega,0.63169
200,Thundurus,0.61028
201,Mienshao,0.61028
202,Trevenant,0.59957
203,Gigalith,0.59957
204,Nidoking,0.59957
205,Cloyster,0.59957
206,Linoone,0.58887
207,Lycanroc-Dusk,0.57816
208,Dunsparce,0.57816
209,Victreebel,0.57816
210,Escavalier,0.56745
211,Dewgong,0.56745
212,Slowbro,0.55675
213,Heracross,0.55675
214,Gallade-Mega,0.55675
215,Darkrai,0.54604
216,Absol,0.54604
217,Starmie,0.54604
218,Exeggutor,0.54604
219,Durant,0.53533
220,Diggersby,0.53533
221,Torterra,0.52463
222,Scolipede,0.51392
223,Mismagius,0.50321
224,Abomasnow-Mega,0.50321
225,Castform,0.50321
226,Cryogonal,0.50321
227,Sceptile,0.49251
228,Reuniclus,0.49251
229,Spinda,0.49251
230,Glalie,0.48180
231,Flareon,0.48180
232,Golisopod,0.47109
233,Ditto,0.47109
234,Porygon-Z,0.47109
235,Hippowdon,0.47109
236,Muk,0.47109
237,Alomomola,0.46039
238,Uxie,0.46039
239,Primeape,0.46039
240,Zebstrika,0.44968
241,Moltres,0.44968
242,Lunatone,0.44968
243,Dragalge,0.43897
244,Tentacruel,0.42827
245,Aerodactyl,0.42827
246,Golduck,0.42827
247,Vileplume,0.41756
248,Shiftry,0.41756
249,Blastoise,0.40685
250,Toxicroak,0.40685
251,Deoxys,0.40685
252,Haxorus,0.39615
253,Heliolisk,0.38544
254,Sandslash-Alola,0.38544
255,Feraligatr,0.38544
256,Latias-Mega,0.38544
257,Skuntank,0.37473
258,Parasect,0.37473
259,Chatot,0.37473
260,Vanilluxe,0.37473
261,Lurantis,0.36403
262,Drifblim,0.36403
263,Lucario,0.36403
264,Octillery,0.35332
265,Slowbro-Mega,0.35332
266,Keldeo,0.35332
267,Silvally,0.35332
268,Vikavolt,0.35332
269,Medicham-Mega,0.35332
270,Miltank,0.35332
271,Aggron,0.34261
272,Cherrim,0.34261
273,Seaking,0.34261
274,Hitmonlee,0.34261
275,Buzzwole,0.34261
276,Chesnaught,0.34261
277,Roserade,0.34261
278,Crawdaunt,0.33191
279,Thundurus-Therian,0.33191
280,Golem-Alola,0.32120
281,Zangoose,0.32120
282,Cacturne,0.32120
283,Dugtrio,0.32120
284,Beartic,0.32120
285,Minior,0.31049
286,Delcatty,0.31049
287,Lanturn,0.31049
288,Rhydon,0.29979
289,Forretress,0.29979
290,Quagsire,0.28908
291,Lycanroc,0.28908
292,Golurk,0.28908
293,Tangela,0.27837
294,Solrock,0.27837
295,Steelix,0.27837
296,Honchkrow,0.27837
297,Gogoat,0.27837
298,Pidgeot-Mega,0.27837
299,Glaceon,0.27837
300,Barbaracle,0.27837
301,Walrein,0.26767
302,Exploud,0.26767
303,Electrode,0.26767
304,Haunter,0.26767
305,Absol-Mega,0.26767
306,Floatzel,0.25696
307,Toucannon,0.25696
308,Clawitzer,0.25696
309,Mudsdale,0.25696
310,Swellow,0.24625
311,Kyurem,0.24625
312,Articuno,0.24625
313,Mandibuzz,0.23555
314,Komala,0.23555
315,Volbeat,0.23555
316,Bewear,0.22484
317,Whiscash,0.22484
318,Bastiodon,0.22484
319,Kecleon,0.21413
320,Lumineon,0.21413
321,Bruxish,0.21413
322,Aromatisse,0.21413
323,Aggron-Mega,0.20343
324,Omastar,0.20343
325,Musharna,0.20343
326,Eelektrik,0.19272
327,Togetic,0.19272
328,Houndoom-Mega,0.18201
329,Dodrio,0.18201
330,Sudowoodo,0.18201
331,Swoobat,0.18201
332,Kabutops,0.18201
333,Palossand,0.18201
334,Dhelmise,0.18201
335,Accelgor,0.18201
336,Buneary,0.17131
337,Lycanroc-Midnight,0.17131
338,Weezing,0.17131
339,Sandslash,0.17131
340,Rampardos,0.17131
341,Probopass,0.17131
342,Wishiwashi,0.17131
343,Gourgeist-Super,0.16060
344,Dusknoir,0.16060
345,Granbull,0.16060
346,Slowking,0.16060
347,Luxray,0.16060
348,Pyukumuku,0.16060
349,Bellossom,0.16060
350,Seismitoad,0.14989
351,Necrozma,0.14989
352,Wigglytuff,0.14989
353,Crabominable,0.14989
354,Pinsir-Mega,0.14989
355,Riolu,0.14989
356,Regirock,0.13919
357,Heracross-Mega,0.13919
358,Jynx,0.13919
359,Magmortar,0.13919
360,Houndoom,0.13919
361,Charizard,0.13919
362,Pidgeot,0.13919
363,Magnemite,0.12848
364,Simipour,0.12848
365,Oricorio-Pom-Pom,0.12848
366,Aron,0.12848
367,Sawsbuck,0.12848
368,Huntail,0.11777
369,Turtonator,0.11777
370,Mawile,0.11777
371,Scyther,0.11777
372,Xatu,0.11777
373,Manaphy,0.11777
374,Yanmega,0.11777
375,Gorebyss,0.11777
376,Emboar,0.11777
377,Abomasnow,0.11777
378,Kingler,0.11777
379,Ledian,0.10707
380,Clamperl,0.10707
381,Claydol,0.10707
382,Carracosta,0.10707
383,Girafarig,0.10707
384,Shiinotic,0.10707
385,Roselia,0.10707
386,Sharpedo-Mega,0.10707
387,Hypno,0.10707
388,Simisear,0.10707
389,Fearow,0.10707
390,Simisage,0.09636
391,Noctowl,0.09636
392,Marowak,0.09636
393,Meganium,0.09636
394,Passimian,0.09636
395,Samurott,0.09636
396,Butterfree,0.08565
397,Mesprit,0.08565
398,Venomoth,0.08565
399,Donphan,0.08565
400,Bouffalant,0.08565
401,Ursaring,0.08565
402,Eevee,0.07495
403,Poliwrath,0.07495
404,Ampharos,0.07495
405,Hitmonchan,0.07495
406,Latios-Mega,0.07495
407,Liepard,0.07495
408,Lopunny,0.07495
409,Chimecho,0.07495
410,Beheeyem,0.07495
411,Oricorio,0.07495
412,Doublade,0.07495
413,Cottonee,0.07495
414,Maractus,0.07495
415,Archeops,0.07495
416,Avalugg,0.07495
417,Armaldo,0.07495
418,Sawk,0.07495
419,Vivillon,0.06424
420,Masquerain,0.06424
421,Rotom-Frost,0.06424
422,Pyroar,0.06424
423,Dugtrio-Alola,0.06424
424,Entei,0.06424
425,Ambipom,0.06424
426,Aurorus,0.06424
427,Raikou,0.06424
428,Jumpluff,0.06424
429,Deoxys-Defense,0.06424
430,Torracat,0.05353
431,Bibarel,0.05353
432,Spiritomb,0.05353
433,Magcargo,0.05353
434,Sandshrew-Alola,0.05353
435,Corsola,0.05353
436,Purugly,0.05353
437,Slurpuff,0.05353
438,Azelf,0.05353
439,Smoochum,0.05353
440,Ninjask,0.05353
441,Cobalion,0.05353
442,Growlithe,0.05353
443,Carnivine,0.05353
444,Regice,0.05353
445,Rotom-Mow,0.04283
446,Silvally-Steel,0.04283
447,Medicham,0.04283
448,Plusle,0.04283
449,Guzzlord,0.04283
450,Raticate-Alola,0.04283
451,Seviper,0.04283
452,Delibird,0.04283
453,Exeggutor-Alola,0.04283
454,Silvally-Poison,0.04283
455,Duosion,0.03212
456,Sharpedo,0.03212
457,Rotom,0.03212
458,Lickitung,0.03212
459,Togepi,0.03212
460,Leavanny,0.03212
461,Throh,0.03212
462,Magikarp,0.03212
463,Stoutland,0.03212
464,Corphish,0.03212
465,Tornadus-Therian,0.03212
466,Magmar,0.03212
467,Swanna,0.02141
468,Misdreavus,0.02141
469,Altaria,0.02141
470,Meloetta,0.02141
471,Oricorio-Pa'u,0.02141
472,Marowak-Alola-Totem,0.02141
473,Mantine,0.02141
474,Pangoro,0.02141
475,Banette,0.02141
476,Tauros,0.02141
477,Ribombee-Totem,0.02141
478,Zygarde-10%,0.02141
479,Klinklang,0.02141
480,Magneton,0.02141
481,Luxio,0.02141
482,Tyrantrum,0.02141
483,Wormadam-Trash,0.02141
484,Kricketune,0.02141
485,Hoopa,0.02141
486,Vulpix-Alola,0.01071
487,Vespiquen,0.01071
488,Electabuzz,0.01071
489,Sigilyph,0.01071
490,Latios,0.01071
491,Gulpin,0.01071
492,Slowpoke,0.01071
493,Bulbasaur,0.01071
494,Glalie-Mega,0.01071
495,Rattata,0.01071
496,Vulpix,0.01071
497,Silvally-Fairy,0.01071
498,Vigoroth,0.01071
499,Bayleef,0.01071
500,Rotom-Fan,0.01071
501,Furret,0.01071
502,Golem,0.01071
503,Pinsir,0.01071
504,Cosmoem,0.01071
505,Relicanth,0.01071
506,Silvally-Rock,0.01071
507,Gible,0.01071
508,Salazzle-Totem,0.01071
509,Persian,0.01071
510,Tropius,0.01071
511,Sliggoo,0.01071
512,Kommo-o-Totem,0.01071
513,Mightyena,0.01071
514,Diglett,0.01071
515,Buizel,0.01071
516,Garbodor,0.01071
517,Araquanid-Totem,0.01071
