Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0494,Victini,Psychic Fire,5,600,100,100,100,100,100,100
0495,Snivy,Grass,5,308,45,45,55,45,55,63
0496,Servine,Grass,5,413,60,60,75,60,75,83
0497,Serperior,Grass,5,528,75,75,95,75,95,113
0498,Tepig,Fire,5,308,65,63,45,45,45,45
0499,Pignite,Fire Fighting,5,418,90,93,55,70,55,55
0500,Emboar,Fire Fighting,5,528,110,123,65,100,65,65
0501,Oshawott,Water,5,308,55,55,45,63,45,45
0502,Dewott,Water,5,413,75,75,60,83,60,60
0503,Samurott,Water,5,528,95,100,85,108,70,70
0503,Samurott Hisuian Samurott,Water Dark,5,528,90,108,80,100,65,85
0504,Patrat,Normal,5,255,45,55,39,35,39,42
0505,Watchog,Normal,5,420,60,85,69,60,69,77
0506,Lillipup,Normal,5,275,45,60,45,25,45,55
0507,Herdier,Normal,5,370,65,80,65,35,65,60
0508,Stoutland,Normal,5,500,85,110,90,45,90,80
0509,Purrloin,Dark,5,281,41,50,37,50,37,66
0510,Liepard,Dark,5,446,64,88,50,88,50,106
0511,Pansage,Grass,5,316,50,53,48,53,48,64
0512,Simisage,Grass,5,498,75,98,63,98,63,101
0513,Pansear,Fire,5,316,50,53,48,53,48,64
0514,Simisear,Fire,5,498,75,98,63,98,63,101
0515,Panpour,Water,5,316,50,53,48,53,48,64
0516,Simipour,Water,5,498,75,98,63,98,63,101
0517,Munna,Psychic,5,292,76,25,45,67,55,24
0518,Musharna,Psychic,5,487,116,55,85,107,95,29
0519,Pidove,Normal Flying,5,264,50,55,50,36,30,43
0520,Tranquill,Normal Flying,5,358,62,77,62,50,42,65
0521,Unfezant,Normal Flying,5,488,80,115,80,65,55,93
0522,Blitzle,Electric,5,295,45,60,32,50,32,76
0523,Zebstrika,Electric,5,497,75,100,63,80,63,116
0524,Roggenrola,Rock,5,280,55,75,85,25,25,15
0525,Boldore,Rock,5,390,70,105,105,50,40,20
0526,Gigalith,Rock,5,515,85,135,130,60,80,25
0527,Woobat,Psychic Flying,5,323,65,45,43,55,43,72
0528,Swoobat,Psychic Flying,5,425,67,57,55,77,55,114
0529,Drilbur,Ground,5,328,60,85,40,30,45,68
0530,Excadrill,Ground Steel,5,508,110,135,60,50,65,88
0531,Audino,Normal,5,445,103,60,86,60,86,50
0531,Audino Mega Audino,Normal Fairy,5,545,103,60,126,80,126,50
0532,Timburr,Fighting,5,305,75,80,55,25,35,35
0533,Gurdurr,Fighting,5,405,85,105,85,40,50,40
0534,Conkeldurr,Fighting,5,505,105,140,95,55,65,45
0535,Tympole,Water,5,294,50,50,40,50,40,64
0536,Palpitoad,Water Ground,5,384,75,65,55,65,55,69
0537,Seismitoad,Water Ground,5,509,105,95,75,85,75,74
0538,Throh,Fighting,5,465,120,100,85,30,85,45
0539,Sawk,Fighting,5,465,75,125,75,30,75,85
0540,Sewaddle,Bug Grass,5,310,45,53,70,40,60,42
0541,Swadloon,Bug Grass,5,380,55,63,90,50,80,42
0542,Leavanny,Bug Grass,5,500,75,103,80,70,80,92
0543,Venipede,Bug Poison,5,260,30,45,59,30,39,57
0544,Whirlipede,Bug Poison,5,360,40,55,99,40,79,47
0545,Scolipede,Bug Poison,5,485,60,100,89,55,69,112
0546,Cottonee,Grass Fairy,5,280,40,27,60,37,50,66
0547,Whimsicott,Grass Fairy,5,480,60,67,85,77,75,116
0548,Petilil,Grass,5,280,45,35,50,70,50,30
0549,Lilligant,Grass,5,480,70,60,75,110,75,90
0549,Lilligant Hisuian Lilligant,Grass Fighting,5,480,70,105,75,50,75,105
0550,Basculin Red-Striped Form,Water,5,460,70,92,65,80,55,98
0550,Basculin Blue-Striped Form,Water,5,460,70,92,65,80,55,98
0550,Basculin White-Striped Form,Water,5,460,70,92,65,80,55,98
0551,Sandile,Ground Dark,5,292,50,72,35,35,35,65
0552,Krokorok,Ground Dark,5,351,60,82,45,45,45,74
0553,Krookodile,Ground Dark,5,519,95,117,80,65,70,92
0554,Darumaka,Fire,5,315,70,90,45,15,45,50
0554,Darumaka Galarian Darumaka,Ice,5,315,70,90,45,15,45,50
0555,Darmanitan Standard Mode,Fire,5,480,105,140,55,30,55,95
0555,Darmanitan Zen Mode,Fire Psychic,5,540,105,30,105,140,105,55
0555,Darmanitan Galarian Standard Mode,Ice,5,480,105,140,55,30,55,95
0555,Darmanitan Galarian Zen Mode,Ice Fire,5,540,105,160,55,30,55,135
0556,Maractus,Grass,5,461,75,86,67,106,67,60
0557,Dwebble,Bug Rock,5,325,50,65,85,35,35,55
0558,Crustle,Bug Rock,5,485,70,105,125,65,75,45
0559,Scraggy,Dark Fighting,5,348,50,75,70,35,70,48
0560,Scrafty,Dark Fighting,5,488,65,90,115,45,115,58
0561,Sigilyph,Psychic Flying,5,490,72,58,80,103,80,97
0562,Yamask,Ghost,5,303,38,30,85,55,65,30
0562,Yamask Galarian Yamask,Ground Ghost,5,303,38,55,85,30,65,30
0563,Cofagrigus,Ghost,5,483,58,50,145,95,105,30
0564,Tirtouga,Water Rock,5,355,54,78,103,53,45,22
0565,Carracosta,Water Rock,5,495,74,108,133,83,65,32
0566,Archen,Rock Flying,5,401,55,112,45,74,45,70
0567,Archeops,Rock Flying,5,567,75,140,65,112,65,110
0568,Trubbish,Poison,5,329,50,50,62,40,62,65
0569,Garbodor,Poison,5,474,80,95,82,60,82,75
0570,Zorua,Dark,5,330,40,65,40,80,40,65
0570,Zorua Hisuian Zorua,Normal Ghost,5,330,35,60,40,85,40,70
0571,Zoroark,Dark,5,510,60,105,60,120,60,105
0571,Zoroark Hisuian Zoroark,Normal Ghost,5,510,55,100,60,125,60,110
0572,Minccino,Normal,5,300,55,50,40,40,40,75
0573,Cinccino,Normal,5,470,75,95,60,65,60,115
0574,Gothita,Psychic,5,290,45,30,50,55,65,45
0575,Gothorita,Psychic,5,390,60,45,70,75,85,55
0576,Gothitelle,Psychic,5,490,70,55,95,95,110,65
0577,Solosis,Psychic,5,290,45,30,40,105,50,20
0578,Duosion,Psychic,5,370,65,40,50,125,60,30
0579,Reuniclus,Psychic,5,490,110,65,75,125,85,30
0580,Ducklett,Water Flying,5,305,62,44,50,44,50,55
0581,Swanna,Water Flying,5,473,75,87,63,87,63,98
0582,Vanillite,Ice,5,305,36,50,50,65,60,44
0583,Vanillish,Ice,5,395,51,65,65,80,75,59
0584,Vanilluxe,Ice,5,535,71,95,85,110,95,79
0585,Deerling,Normal Grass,5,335,60,60,50,40,50,75
0586,Sawsbuck,Normal Grass,5,475,80,100,70,60,70,95
0587,Emolga,Electric Flying,5,428,55,75,60,75,60,103
0588,Karrablast,Bug,5,315,50,75,45,40,45,60
0589,Escavalier,Bug Steel,5,495,70,135,105,60,105,20
0590,Foongus,Grass Poison,5,294,69,55,45,55,55,15
0591,Amoonguss,Grass Poison,5,464,114,85,70,85,80,30
0592,Frillish,Water Ghost,5,335,55,40,50,65,85,40
0593,Jellicent,Water Ghost,5,480,100,60,70,85,105,60
0594,Alomomola,Water,5,470,165,75,80,40,45,65
0595,Joltik,Bug Electric,5,319,50,47,50,57,50,65
0596,Galvantula,Bug Electric,5,472,70,77,60,97,60,108
0597,Ferroseed,Grass Steel,5,305,44,50,91,24,86,10
0598,Ferrothorn,Grass Steel,5,489,74,94,131,54,116,20
0599,Klink,Steel,5,300,40,55,70,45,60,30
0600,Klang,Steel,5,440,60,80,95,70,85,50
0601,Klinklang,Steel,5,520,60,100,115,70,85,90
0602,Tynamo,Electric,5,275,35,55,40,45,40,60
0603,Eelektrik,Electric,5,405,65,85,70,75,70,40
0604,Eelektross,Electric,5,515,85,115,80,105,80,50
0605,Elgyem,Psychic,5,335,55,55,55,85,55,30
0606,Beheeyem,Psychic,5,485,75,75,75,125,95,40
0607,Litwick,Ghost Fire,5,275,50,30,55,65,55,20
0608,Lampent,Ghost Fire,5,370,60,40,60,95,60,55
0609,Chandelure,Ghost Fire,5,520,60,55,90,145,90,80
0610,Axew,Dragon,5,320,46,87,60,30,40,57
0611,Fraxure,Dragon,5,410,66,117,70,40,50,67
0612,Haxorus,Dragon,5,540,76,147,90,60,70,97
0613,Cubchoo,Ice,5,305,55,70,40,60,40,40
0614,Beartic,Ice,5,505,95,130,80,70,80,50
0615,Cryogonal,Ice,5,515,80,50,50,95,135,105
0616,Shelmet,Bug,5,305,50,40,85,40,65,25
0617,Accelgor,Bug,5,495,80,70,40,100,60,145
0618,Stunfisk,Ground Electric,5,471,109,66,84,81,99,32
0618,Stunfisk Galarian Stunfisk,Ground Steel,5,471,109,81,99,66,84,32
0619,Mienfoo,Fighting,5,350,45,85,50,55,50,65
0620,Mienshao,Fighting,5,510,65,125,60,95,60,105
0621,Druddigon,Dragon,5,485,77,120,90,60,90,48
0622,Golett,Ground Ghost,5,303,59,74,50,35,50,35
0623,Golurk,Ground Ghost,5,483,89,124,80,55,80,55
0624,Pawniard,Dark Steel,5,340,45,85,70,40,40,60
0625,Bisharp,Dark Steel,5,490,65,125,100,60,70,70
0626,Bouffalant,Normal,5,490,95,110,95,40,95,55
0627,Rufflet,Normal Flying,5,350,70,83,50,37,50,60
0628,Braviary,Normal Flying,5,510,100,123,75,57,75,80
