OriginalName,SmogonName
Bulbasaur,bulbasaur
Ivysaur,ivysaur
Venusaur,venusaur
Venusaur Mega Venusaur,venusaur-mega-venusaur
Charmander,charmander
Charmeleon,charmeleon
Charizard,charizard
Charizard Mega Charizard X,charizard-mega-charizard-x
Charizard Mega Charizard Y,charizard-mega-charizard-y
Squirtle,squirtle
Wartortle,wartortle
Blastoise,blastoise
Blastoise Mega Blastoise,blastoise-mega-blastoise
Caterpie,caterpie
Metapod,metapod
Butterfree,butterfree
Weedle,weedle
Kakuna,kakuna
Beedrill,beedrill
Beedrill Mega Beedrill,beedrill-mega-beedrill
Pidgey,pidgey
Pidgeotto,pidgeotto
Pidgeot,pidgeot
Pidgeot Mega Pidgeot,pidgeot-mega-pidgeot
Rattata,rattata
Rattata Alolan Rattata,rattata-alola-rattata
Raticate,raticate
Raticate Alolan Raticate,raticate-alola-raticate
Spearow,spearow
Fearow,fearow
Ekans,ekans
Arbok,arbok
Pikachu,pikachu
Pikachu Partner Pikachu,pikachu-partner-pikachu
Raichu,raichu
Raichu Alolan Raichu,raichu-alola-raichu
Sandshrew,sandshrew
Sandshrew Alolan Sandshrew,sandshrew-alola-sandshrew
Sandslash,sandslash
Sandslash Alolan Sandslash,sandslash-alola-sandslash
Nidoran♀,nidoranf
Nidorina,nidorina
Nidoqueen,nidoqueen
Nidoran♂,nidoranm
Nidorino,nidorino
Nidoking,nidoking
Clefairy,clefairy
Clefable,clefable
Vulpix,vulpix
Vulpix Alolan Vulpix,vulpix-alola-vulpix
Ninetales,ninetales
Ninetales Alolan Ninetales,ninetales-alola-ninetales
Jigglypuff,jigglypuff
Wigglytuff,wigglytuff
Zubat,zubat
Golbat,golbat
Oddish,oddish
Gloom,gloom
Vileplume,vileplume
Paras,paras
Parasect,parasect
Venonat,venonat
Venomoth,venomoth
Diglett,diglett
Diglett Alolan Diglett,diglett-alola-diglett
Dugtrio,dugtrio
Dugtrio Alolan Dugtrio,dugtrio-alola-dugtrio
Meowth,meowth
Meowth Alolan Meowth,meowth-alola-meowth
Meowth Galarian Meowth,meowth-galar-meowth
Persian,persian
Persian Alolan Persian,persian-alola-persian
Psyduck,psyduck
Golduck,golduck
Mankey,mankey
Primeape,primeape
Growlithe,growlithe
Growlithe Hisuian Growlithe,growlithe-hisui-growlithe
Arcanine,arcanine
Arcanine Hisuian Arcanine,arcanine-hisui-arcanine
Poliwag,poliwag
Poliwhirl,poliwhirl
Poliwrath,poliwrath
Abra,abra
Kadabra,kadabra
Alakazam,alakazam
Alakazam Mega Alakazam,alakazam-mega-alakazam
Machop,machop
Machoke,machoke
Machamp,machamp
Bellsprout,bellsprout
Weepinbell,weepinbell
Victreebel,victreebel
Victreebel Mega Victreebel,victreebel-mega-victreebel
Tentacool,tentacool
Tentacruel,tentacruel
Geodude,geodude
Geodude Alolan Geodude,geodude-alola-geodude
Graveler,graveler
Graveler Alolan Graveler,graveler-alola-graveler
Golem,golem
Golem Alolan Golem,golem-alola-golem
Ponyta,ponyta
Ponyta Galarian Ponyta,ponyta-galar-ponyta
Rapidash,rapidash
Rapidash Galarian Rapidash,rapidash-galar-rapidash
Slowpoke,slowpoke
Slowpoke Galarian Slowpoke,slowpoke-galar-slowpoke
Slowbro,slowbro
Slowbro Mega Slowbro,slowbro-mega-slowbro
Slowbro Galarian Slowbro,slowbro-galar-slowbro
Magnemite,magnemite
Magneton,magneton
Farfetch'd,farfetchd
Farfetch'd Galarian Farfetch'd,farfetchd-galar-farfetchd
Doduo,doduo
Dodrio,dodrio
Seel,seel
Dewgong,dewgong
Grimer,grimer
Grimer Alolan Grimer,grimer-alola-grimer
Muk,muk
Muk Alolan Muk,muk-alola-muk
Shellder,shellder
Cloyster,cloyster
Gastly,gastly
Haunter,haunter
Gengar,gengar
Gengar Mega Gengar,gengar-mega-gengar
Onix,onix
Drowzee,drowzee
Hypno,hypno
Krabby,krabby
Kingler,kingler
Voltorb,voltorb
Voltorb Hisuian Voltorb,voltorb-hisui-voltorb
Electrode,electrode
Electrode Hisuian Electrode,electrode-hisui-electrode
Exeggcute,exeggcute
Exeggutor,exeggutor
Exeggutor Alolan Exeggutor,exeggutor-alola-exeggutor
Cubone,cubone
Marowak,marowak
Marowak Alolan Marowak,marowak-alola-marowak
Hitmonlee,hitmonlee
Hitmonchan,hitmonchan
Lickitung,lickitung
Koffing,koffing
Weezing,weezing
Weezing Galarian Weezing,weezing-galar-weezing
Rhyhorn,rhyhorn
Rhydon,rhydon
Chansey,chansey
Tangela,tangela
Kangaskhan,kangaskhan
Kangaskhan Mega Kangaskhan,kangaskhan-mega-kangaskhan
Horsea,horsea
Seadra,seadra
Goldeen,goldeen
Seaking,seaking
Staryu,staryu
Starmie,starmie
Mr. Mime,mr-mime
Mr. Mime Galarian Mr. Mime,mr-mime-galar-mr-mime
Scyther,scyther
Jynx,jynx
Electabuzz,electabuzz
Magmar,magmar
Pinsir,pinsir
Pinsir Mega Pinsir,pinsir-mega-pinsir
Tauros,tauros
Tauros Combat Breed,tauros-combat-breed
Tauros Blaze Breed,tauros-blaze-breed
Tauros Aqua Breed,tauros-aqua-breed
Magikarp,magikarp
Gyarados,gyarados
Gyarados Mega Gyarados,gyarados-mega-gyarados
Lapras,lapras
Ditto,ditto
Eevee,eevee
Eevee Partner Eevee,eevee-partner-eevee
Vaporeon,vaporeon
Jolteon,jolteon
Flareon,flareon
Porygon,porygon
Omanyte,omanyte
Omastar,omastar
Kabuto,kabuto
Kabutops,kabutops
Aerodactyl,aerodactyl
Aerodactyl Mega Aerodactyl,aerodactyl-mega-aerodactyl
Snorlax,snorlax
Articuno,articuno
Articuno Galarian Articuno,articuno-galar-articuno
Zapdos,zapdos
Zapdos Galarian Zapdos,zapdos-galar-zapdos
Moltres,moltres
Moltres Galarian Moltres,moltres-galar-moltres
Dratini,dratini
Dragonair,dragonair
Dragonite,dragonite
Dragonite Mega Dragonite,dragonite-mega-dragonite
Mewtwo,mewtwo
Mewtwo Mega Mewtwo X,mewtwo-mega-mewtwo-x
Mewtwo Mega Mewtwo Y,mewtwo-mega-mewtwo-y
Mew,mew
Chikorita,chikorita
Bayleef,bayleef
Meganium,meganium
Cyndaquil,cyndaquil
Quilava,quilava
Typhlosion,typhlosion
Typhlosion Hisuian Typhlosion,typhlosion-hisui-typhlosion
Totodile,totodile
Croconaw,croconaw
Feraligatr,feraligatr
Sentret,sentret
Furret,furret
Hoothoot,hoothoot
Noctowl,noctowl
Ledyba,ledyba
Ledian,ledian
Spinarak,spinarak
Ariados,ariados
Crobat,crobat
Chinchou,chinchou
Lanturn,lanturn
Pichu,pichu
Cleffa,cleffa
Igglybuff,igglybuff
Togepi,togepi
Togetic,togetic
Natu,natu
Xatu,xatu
Mareep,mareep
Flaaffy,flaaffy
Ampharos,ampharos
Ampharos Mega Ampharos,ampharos-mega-ampharos
Bellossom,bellossom
Marill,marill
Azumarill,azumarill
Sudowoodo,sudowoodo
Politoed,politoed
Hoppip,hoppip
Skiploom,skiploom
Jumpluff,jumpluff
Aipom,aipom
Sunkern,sunkern
Sunflora,sunflora
Yanma,yanma
