source,pokemon,category,type,name,usage
2015-07_gen5ou-0.json,Garchomp,Stats,Raw count,,935
2015-07_gen5ou-0.json,Garchomp,Stats,Avg. weight,,1.0
2015-07_gen5ou-0.json,Garchomp,Stats,Viability Ceiling,,85
2015-07_gen5ou-0.json,Garchomp,Stats,Jolly,,4.492
2015-07_gen5ou-0.json,Garchomp,Stats,Naive,,8.342
2015-07_gen5ou-0.json,Garchomp,Stats,Adamant,,7.166
2015-07_gen5ou-0.json,Garchomp,Abilities,,Rough Skin,100.0
2015-07_gen5ou-0.json,Garchomp,Items,,Choice Scarf,31.444
2015-07_gen5ou-0.json,Garchomp,Items,,Yache Berry,16.257
2015-07_gen5ou-0.json,Garchomp,Items,,Choice Band,11.23
2015-07_gen5ou-0.json,Garchomp,Items,,Rocky Helmet,10.588
2015-07_gen5ou-0.json,Garchomp,Items,,Lum Berry,7.166
2015-07_gen5ou-0.json,Garchomp,Items,,Salac Berry,5.989
2015-07_gen5ou-0.json,Garchomp,Items,,Focus Sash,4.813
2015-07_gen5ou-0.json,Garchomp,Items,,Leftovers,4.278
2015-07_gen5ou-0.json,Garchomp,Items,,Dragon Gem,2.46
2015-07_gen5ou-0.json,Garchomp,Items,,Expert Belt,1.07
2015-07_gen5ou-0.json,Garchomp,Items,,Other,4.706
2015-07_gen5ou-0.json,Garchomp,Spreads,,Other,24.492
2015-07_gen5ou-0.json,Garchomp,Moves,,Earthquake,98.717
2015-07_gen5ou-0.json,Garchomp,Moves,,Outrage,70.695
2015-07_gen5ou-0.json,Garchomp,Moves,,Dragon Claw,44.706
2015-07_gen5ou-0.json,Garchomp,Moves,,Swords Dance,37.754
2015-07_gen5ou-0.json,Garchomp,Moves,,Stealth Rock,26.631
2015-07_gen5ou-0.json,Garchomp,Moves,,Aqua Tail,19.893
2015-07_gen5ou-0.json,Garchomp,Moves,,Fire Blast,18.717
2015-07_gen5ou-0.json,Garchomp,Moves,,Substitute,16.684
2015-07_gen5ou-0.json,Garchomp,Moves,,Stone Edge,16.043
2015-07_gen5ou-0.json,Garchomp,Moves,,Fire Fang,12.727
2015-07_gen5ou-0.json,Garchomp,Moves,,Dual Chop,7.166
2015-07_gen5ou-0.json,Garchomp,Moves,,Rock Slide,6.738
2015-07_gen5ou-0.json,Garchomp,Moves,,Dragon Tail,3.636
2015-07_gen5ou-0.json,Garchomp,Moves,,Other,19.893
2015-07_gen5ou-0.json,Ferrothorn,Stats,Raw count,,830
2015-07_gen5ou-0.json,Ferrothorn,Stats,Avg. weight,,1.0
2015-07_gen5ou-0.json,Ferrothorn,Stats,Viability Ceiling,,85
