Rank,Pokemon,UsagePercent
1,Garchomp,15.93680
2,Landorus-Therian,14.62226
3,Excadrill,14.46177
4,Clefable,14.01276
5,Rotom-Wash,12.41927
6,Ferrothorn,11.98173
7,Gliscor,11.33211
8,Heatran,11.29581
9,Bisharp,11.06844
10,Talonflame,11.00921
11,Metagross-Mega,10.96526
12,Keldeo,10.83152
13,Gengar,10.35576
14,Tyranitar,10.35194
15,Weavile,10.30227
16,Dragonite,9.45584
17,Azumarill,9.17116
18,Serperior,8.82724
19,Latios,8.29034
20,Charizard-Mega-X,7.36941
21,Scizor-Mega,7.35030
22,Breloom,7.31209
23,Magnezone,7.20891
24,Starmie,7.11911
25,Tornadus-Therian,6.64718
26,Chansey,6.40644
27,Charizard-Mega-Y,6.38733
28,Amoonguss,6.37969
29,Lopunny-Mega,5.54855
30,Skarmory,5.45875
31,Gardevoir-Mega,5.36131
32,Scizor,5.27150
33,Togekiss,5.11292
34,Zapdos,4.85498
35,Volcarona,4.67920
36,Jirachi,4.51871
37,Hydreigon,4.46903
38,Venusaur-Mega,4.32764
39,Thundurus,4.22064
40,Manaphy,3.88819
41,Mew,3.84233
42,Diancie-Mega,3.81367
43,Slowbro,3.75253
44,Kyurem-Black,3.71432
45,Infernape,3.67993
46,Tangrowth,3.64936
47,Medicham-Mega,3.54809
48,Latias,3.41052
49,Lucario,3.33410
50,Snorlax,3.20035
51,Cloyster,3.15067
52,Volcanion,3.12775
53,Gyarados,3.08380
54,Salamence,2.96725
55,Garchomp-Mega,2.94050
56,Hippowdon,2.83733
57,Manectric-Mega,2.80485
58,Raikou,2.74944
59,Sylveon,2.71887
60,Shuckle,2.71504
61,Chandelure,2.70167
62,Alakazam,2.62142
63,Pinsir-Mega,2.61760
64,Alakazam-Mega,2.55455
65,Umbreon,2.55455
66,Tyranitar-Mega,2.47812
67,Milotic,2.46666
68,Gyarados-Mega,2.46475
69,Azelf,2.40743
70,Altaria-Mega,2.38641
71,Metagross,2.34629
72,Swampert-Mega,2.28515
73,Galvantula,2.26795
74,Sceptile-Mega,2.23929
75,Blastoise-Mega,2.18579
76,Goodra,2.12465
77,Hawlucha,2.10937
78,Blissey,2.07880
79,Nidoking,2.03294
80,Arcanine,2.01957
81,Espeon,2.00810
82,Heracross-Mega,1.99282
83,Crawdaunt,1.94696
84,Swampert,1.92976
85,Haxorus,1.92021
86,Tentacruel,1.88582
87,Suicune,1.84570
88,Crobat,1.78264
89,Staraptor,1.70813
90,Roserade,1.68520
91,Gallade-Mega,1.67947
92,Klefki,1.65272
93,Empoleon,1.58585
94,Beedrill-Mega,1.56101
95,Conkeldurr,1.53235
96,Victini,1.46930
97,Terrakion,1.42726
98,Slowbro-Mega,1.42344
99,Jolteon,1.40433
100,Sableye,1.39096
101,Quagsire,1.38714
102,Porygon2,1.38714
103,Politoed,1.34128
104,Vaporeon,1.33746
105,Darmanitan,1.31453
106,Thundurus-Therian,1.31071
107,Jellicent,1.30498
108,Venusaur,1.26486
109,Forretress,1.23811
110,Gastrodon,1.22473
111,Cresselia,1.19798
112,Gardevoir,1.19416
113,Donphan,1.18270
114,Krookodile,1.17697
115,Machamp,1.17505
116,Doublade,1.15977
117,Mandibuzz,1.11582
118,Aerodactyl-Mega,1.11009
119,Mamoswine,1.09290
120,Chesnaught,1.09099
121,Cofagrigus,1.07379
122,Dragalge,1.05086
123,Zoroark,1.05086
124,Porygon-Z,1.05086
125,Scolipede,1.04513
126,Rhyperior,1.04322
127,Hoopa,1.01838
128,Feraligatr,1.00501
129,Latios-Mega,0.99354
130,Aerodactyl,0.94769
131,Electivire,0.94769
132,Latias-Mega,0.93813
133,Kingdra,0.93431
134,Rotom-Heat,0.92476
135,Scrafty,0.92476
136,Pidgeot-Mega,0.92476
137,Ditto,0.88655
138,Sceptile,0.87317
139,Blastoise,0.86744
140,Delphox,0.84069
141,Aggron-Mega,0.83687
142,Tyrantrum,0.83496
143,Absol-Mega,0.80439
144,Whimsicott,0.80057
145,Lapras,0.79101
146,Diggersby,0.78146
147,Sharpedo-Mega,0.76808
148,Ninetales,0.75853
149,Reuniclus,0.74516
150,Banette-Mega,0.72605
151,Noivern,0.72223
152,Ludicolo,0.69357
153,Heliolisk,0.67828
154,Steelix,0.67255
155,Toxicroak,0.65918
156,Charizard,0.65727
157,Slowking,0.65344
158,Seismitoad,0.65153
159,Slurpuff,0.64198
160,Mienshao,0.64007
161,Xatu,0.63816
162,Vivillon,0.63625
163,Pikachu,0.63243
164,Flygon,0.63243
165,Aggron,0.62096
166,Ampharos-Mega,0.59995
167,Malamar,0.59613
168,Typhlosion,0.59613
169,Bronzong,0.59039
170,Tropius,0.58657
171,Torterra,0.58657
172,Golurk,0.58657
173,Alomomola,0.58275
174,Floatzel,0.57320
175,Abomasnow-Mega,0.55982
176,Meowstic,0.55791
177,Heracross,0.55791
178,Slaking,0.55027
179,Froslass,0.54263
180,Drapion,0.52543
181,Mismagius,0.51970
182,Eelektross,0.51397
183,Raichu,0.49868
184,Zygarde,0.49677
185,Spiritomb,0.49104
186,Celebi,0.48913
187,Nidoqueen,0.48722
188,Dusclops,0.48531
189,Gligar,0.48340
190,Swellow,0.48149
191,Rampardos,0.47766
192,Cobalion,0.47002
193,Pangoro,0.46620
194,Florges,0.46429
195,Cacturne,0.44709
196,Dusknoir,0.44327
197,Lilligant,0.43945
198,Gallade,0.42034
199,Rotom-Mow,0.41843
200,Camerupt-Mega,0.40506
201,Shedinja,0.40124
202,Rotom,0.39551
203,Ambipom,0.38786
204,Diancie,0.38595
205,Dugtrio,0.38404
206,Houndoom-Mega,0.38022
207,Claydol,0.37640
208,Leafeon,0.37449
209,Exploud,0.37067
210,Weezing,0.36876
211,Scyther,0.36494
212,Hitmontop,0.36494
213,Honchkrow,0.35729
214,Lanturn,0.35538
215,Yanmega,0.35538
216,Entei,0.34201
217,Dedenne,0.34010
218,Smeargle,0.34010
219,Magmortar,0.33628
220,Samurott,0.33245
221,Uxie,0.32863
222,Durant,0.32099
223,Druddigon,0.31335
224,Armaldo,0.30762
225,Swanna,0.30571
226,Aurorus,0.30188
227,Linoone,0.29806
228,Kabutops,0.29806
229,Registeel,0.29615
230,Torkoal,0.29424
231,Steelix-Mega,0.28851
232,Avalugg,0.28087
233,Victreebel,0.27705
234,Cinccino,0.26749
235,Glaceon,0.26749
236,Trevenant,0.26558
237,Clawitzer,0.26367
238,Luxray,0.26176
239,Leavanny,0.25603
240,Kyurem,0.25412
241,Wailord,0.25221
242,Crustle,0.25221
243,Cradily,0.24647
244,Vileplume,0.24265
245,Electrode,0.23501
246,Sawk,0.23310
247,Emboar,0.22928
248,Liepard,0.22546
249,Exeggutor,0.22546
250,Magneton,0.21973
251,Meloetta,0.21017
252,Sigilyph,0.20635
253,Medicham,0.19871
254,Miltank,0.19489
255,Hitmonlee,0.19107
256,Unfezant,0.18724
257,Houndoom,0.18724
258,Poliwrath,0.18342
259,Pyroar,0.18342
260,Carracosta,0.17960
261,Swoobat,0.17960
262,Archeops,0.17960
263,Regice,0.17960
264,Absol,0.17769
265,Ursaring,0.17769
266,Chimecho,0.17578
267,Golem,0.17578
268,Regirock,0.17387
269,Gourgeist-Super,0.17387
270,Sharpedo,0.17196
271,Audino-Mega,0.17196
272,Emolga,0.17005
273,Manectric,0.17005
274,Vigoroth,0.16623
275,Braviary,0.16623
276,Kingler,0.16623
277,Shaymin,0.16623
278,Omastar,0.16241
279,Tauros,0.16241
280,Escavalier,0.16050
281,Raticate,0.15667
282,Moltres,0.15476
283,Walrein,0.15285
284,Flareon,0.15285
285,Pidgeot,0.14903
286,Gigalith,0.14712
287,Regigigas,0.14521
288,Barbaracle,0.14521
289,Glalie-Mega,0.14521
290,Butterfree,0.14139
291,Seaking,0.14139
292,Musharna,0.14139
293,Articuno,0.14139
294,Pelipper,0.13948
295,Drifblim,0.13948
296,Ninjask,0.13566
297,Dunsparce,0.13566
298,Chatot,0.13566
299,Wobbuffet,0.13184
300,Mawile,0.13184
301,Ampharos,0.12992
302,Muk,0.12610
303,Seviper,0.12610
304,Garbodor,0.12610
305,Hariyama,0.12228
306,Sawsbuck,0.12037
307,Golbat,0.11846
308,Parasect,0.11655
309,Meganium,0.11655
310,Accelgor,0.11464
311,Cryogonal,0.11464
312,Murkrow,0.11273
313,Gogoat,0.11082
314,Marowak,0.11082
315,Rattata,0.10891
316,Virizion,0.10891
317,Piloswine,0.10700
318,Abomasnow,0.10700
319,Kecleon,0.10318
320,Bastiodon,0.10126
321,Zangoose,0.09935
322,Sandslash,0.09935
323,Golduck,0.09935
324,Watchog,0.09744
325,Riolu,0.09362
326,Rapidash,0.09362
327,Dodrio,0.08980
328,Altaria,0.08980
329,Klinklang,0.08980
330,Mr. Mime,0.08980
331,Granbull,0.08789
332,Gorebyss,0.08598
333,Pinsir,0.08407
334,Basculin,0.08407
335,Braixen,0.08407
336,Delcatty,0.08407
337,Wigglytuff,0.08407
338,Camerupt,0.08216
339,Whiscash,0.08216
340,Frogadier,0.07834
341,Stoutland,0.07834
342,Beedrill,0.07834
343,Skuntank,0.07643
344,Rotom-Frost,0.07643
345,Aromatisse,0.07260
346,Probopass,0.07260
347,Stunfisk,0.07069
348,Huntail,0.06878
349,Gurdurr,0.06878
350,Delibird,0.06878
351,Hitmonchan,0.06687
352,Kangaskhan,0.06687
353,Lopunny,0.06687
354,Venomoth,0.06496
355,Grumpig,0.06496
356,Oshawott,0.06496
357,Combusken,0.06496
358,Mantine,0.06305
359,Bouffalant,0.06114
360,Persian,0.05923
361,Zebstrika,0.05541
362,Snivy,0.05541
363,Bibarel,0.05350
364,Primeape,0.05350
365,Arbok,0.05159
366,Banette,0.04968
367,Magcargo,0.04968
368,Furret,0.04968
369,Electabuzz,0.04777
370,Audino,0.04777
371,Tornadus,0.04586
372,Aron,0.04586
373,Mesprit,0.04586
374,Pachirisu,0.04586
375,Fearow,0.04586
376,Rotom-Fan,0.04586
377,Lickilicky,0.04395
378,Spinda,0.04395
379,Simisage,0.04395
380,Swirlix,0.04203
381,Vespiquen,0.04203
382,Gourgeist,0.04203
383,Tepig,0.04203
384,Luvdisc,0.04203
385,Illumise,0.04203
386,Rhydon,0.04203
387,Bellossom,0.04203
388,Throh,0.04012
389,Pawniard,0.04012
390,Sunflora,0.04012
391,Gourgeist-Small,0.03821
392,Machoke,0.03821
393,Shiftry,0.03821
394,Vanilluxe,0.03630
395,Ledian,0.03439
396,Masquerain,0.03439
397,Jynx,0.03248
398,Togetic,0.03248
399,Mightyena,0.03248
400,Lumineon,0.03057
401,Ariados,0.03057
402,Dwebble,0.03057
403,Swalot,0.03057
404,Gothitelle,0.02675
405,Totodile,0.02675
406,Clefairy,0.02675
407,Beheeyem,0.02675
408,Purugly,0.02675
409,Cottonee,0.02675
410,Jumpluff,0.02675
411,Magmar,0.02675
412,Carbink,0.02484
413,Furfrou,0.02484
414,Carvanha,0.02484
415,Squirtle,0.02484
416,Geodude,0.02484
417,Mothim,0.02484
418,Castform,0.02484
419,Noctowl,0.02484
420,Pansage,0.02293
421,Meowth,0.02293
422,Treecko,0.02293
423,Haunter,0.02293
424,Graveler,0.02293
425,Lickitung,0.02293
426,Skitty,0.02293
427,Eevee,0.02102
428,Sudowoodo,0.02102
429,Prinplup,0.02102
430,Nosepass,0.02102
431,Ivysaur,0.02102
432,Pineco,0.02102
433,Relicanth,0.02102
434,Onix,0.02102
435,Purrloin,0.02102
436,Pansear,0.01911
437,Taillow,0.01911
438,Roselia,0.01911
439,Stantler,0.01911
440,Beartic,0.01911
441,Fletchinder,0.01720
442,Tangela,0.01720
443,Magikarp,0.01720
444,Dustox,0.01720
445,Staryu,0.01720
446,Kadabra,0.01720
447,Panpour,0.01720
448,Hypno,0.01720
449,Charmander,0.01720
450,Torchic,0.01720
451,Bulbasaur,0.01529
452,Honedge,0.01529
453,Yamask,0.01529
454,Palpitoad,0.01529
455,Monferno,0.01529
456,Seadra,0.01529
457,Froakie,0.01529
458,Zorua,0.01337
459,Fennekin,0.01337
460,Solrock,0.01337
461,Qwilfish,0.01337
462,Farfetch'd,0.01337
463,Tirtouga,0.01337
464,Gastly,0.01337
465,Gabite,0.01337
466,Porygon,0.01337
467,Dewgong,0.01337
468,Magnemite,0.01146
469,Doduo,0.01146
470,Simipour,0.01146
471,Scraggy,0.01146
472,Chinchou,0.01146
473,Glalie,0.01146
474,Piplup,0.01146
475,Corphish,0.01146
476,Wartortle,0.01146
477,Starly,0.01146
478,Chimchar,0.01146
479,Pancham,0.01146
480,Shelmet,0.01146
481,Simisear,0.01146
482,Metang,0.00955
483,Skiddo,0.00955
484,Fletchling,0.00955
485,Wynaut,0.00955
486,Dragonair,0.00955
487,Buizel,0.00955
488,Beautifly,0.00955
489,Wormadam-Trash,0.00955
490,Hoppip,0.00955
491,Seedot,0.00764
492,Cherrim,0.00764
493,Drowzee,0.00764
494,Ferroseed,0.00764
495,Pignite,0.00764
496,Servine,0.00764
497,Poliwhirl,0.00764
498,Shinx,0.00764
499,Spinarak,0.00764
500,Charmeleon,0.00764
501,Sneasel,0.00764
502,Buneary,0.00573
503,Ducklett,0.00573
504,Archen,0.00573
505,Mime Jr.,0.00573
506,Wooper,0.00573
507,Aipom,0.00573
508,Yanma,0.00573
509,Bergmite,0.00573
510,Gulpin,0.00573
511,Jigglypuff,0.00573
512,Pidgeotto,0.00573
513,Spoink,0.00573
514,Floette,0.00573
515,Frillish,0.00573
516,Lampent,0.00573
517,Heatmor,0.00573
518,Hippopotas,0.00573
519,Plusle,0.00573
520,Noibat,0.00573
521,Gible,0.00573
522,Lileep,0.00573
523,Solosis,0.00573
524,Volbeat,0.00573
525,Vibrava,0.00573
526,Caterpie,0.00573
527,Azurill,0.00382
528,Cleffa,0.00382
529,Girafarig,0.00382
530,Sealeo,0.00382
531,Clamperl,0.00382
532,Bunnelby,0.00382
533,Wormadam-Sandy,0.00382
534,Omanyte,0.00382
535,Slowpoke,0.00382
536,Abra,0.00382
537,Chikorita,0.00382
538,Bayleef,0.00382
539,Ponyta,0.00382
540,Kakuna,0.00382
541,Cyndaquil,0.00382
542,Chingling,0.00382
543,Tranquill,0.00382
544,Chespin,0.00382
545,Dewott,0.00382
546,Misdreavus,0.00382
547,Quilladin,0.00382
548,Poliwag,0.00382
549,Amaura,0.00382
550,Vanillite,0.00382
551,Gloom,0.00382
552,Bidoof,0.00382
553,Nuzleaf,0.00382
554,Weedle,0.00382
555,Snubbull,0.00191
556,Houndour,0.00191
557,Binacle,0.00191
558,Rufflet,0.00191
559,Maractus,0.00191
560,Makuhita,0.00191
561,Seel,0.00191
562,Vanillish,0.00191
563,Kirlia,0.00191
564,Nidorino,0.00191
565,Larvesta,0.00191
566,Woobat,0.00191
567,Phanpy,0.00191
568,Pidove,0.00191
569,Mudkip,0.00191
570,Luxio,0.00191
571,Ralts,0.00191
572,Boldore,0.00191
