Rank,Pokemon,UsagePercent
1,Tyranitar,47.45746
2,Metagross,36.48780
3,Skarmory,34.54808
4,Swampert,33.02817
5,Gengar,28.04543
6,Blissey,26.83416
7,Salamence,26.36178
8,Zapdos,24.48587
9,Celebi,24.23944
10,Magneton,24.04961
11,Dugtrio,20.14770
12,Snorlax,19.67290
13,Starmie,19.08011
14,Aerodactyl,18.10042
15,Suicune,17.97921
16,Jirachi,13.08356
17,Claydol,12.90295
18,Heracross,10.32108
19,Forretress,9.82702
20,Jolteon,9.19891
21,Flygon,8.67515
22,Charizard,8.29427
23,Moltres,8.15460
24,Breloom,6.99671
25,Milotic,6.31241
26,Gyarados,6.03468
27,Blaziken,5.12362
28,Porygon2,4.32814
29,Hariyama,4.19369
30,Kingdra,4.15115
31,Regirock,3.72853
32,Cloyster,3.61214
33,Raikou,3.13453
34,Houndoom,2.82148
35,Medicham,2.80181
36,Vaporeon,2.64810
37,Dusclops,2.48354
38,Ludicolo,2.46629
39,Smeargle,2.34347
40,Sceptile,2.23511
41,Marowak,2.22187
42,Glalie,2.16287
43,Alakazam,2.05531
44,Regice,1.98427
45,Ninjask,1.86627
46,Camerupt,1.60981
47,Slaking,1.53516
48,Weezing,1.46211
49,Exeggutor,1.45810
50,Venusaur,1.36579
51,Articuno,1.27950
52,Gardevoir,1.25662
53,Machamp,1.20204
54,Steelix,1.05033
55,Dragonite,1.04270
56,Umbreon,0.92792
57,Scizor,0.91788
58,Registeel,0.90464
59,Jynx,0.90103
60,Arcanine,0.83802
61,Armaldo,0.81674
62,Electrode,0.75654
63,Donphan,0.70517
64,Linoone,0.67948
65,Swellow,0.66584
66,Poliwrath,0.65741
67,Lapras,0.65580
68,Cradily,0.65018
69,Misdreavus,0.58597
70,Banette,0.58557
71,Crobat,0.58356
72,Tauros,0.55948
73,Dodrio,0.55145
74,Rhydon,0.54904
75,Shedinja,0.50008
76,Aggron,0.49205
77,Lanturn,0.48965
78,Pikachu,0.48403
79,Typhlosion,0.46476
80,Miltank,0.44710
81,Nidoking,0.42342
82,Blastoise,0.42302
83,Omastar,0.40295
84,Espeon,0.38489
85,Shiftry,0.37165
86,Slowbro,0.33031
87,Entei,0.32549
88,Hitmontop,0.31546
89,Ursaring,0.31105
90,Tentacruel,0.30864
91,Sableye,0.27693
92,Electabuzz,0.26449
93,Butterfree,0.26168
94,Zangoose,0.26168
95,Kangaskhan,0.25646
96,Quagsire,0.25566
97,Wailord,0.25566
98,Walrein,0.25486
99,Ampharos,0.23037
100,Nidoqueen,0.22676
101,Qwilfish,0.22596
102,Kabutops,0.21512
103,Meganium,0.21432
104,Jumpluff,0.20991
105,Hypno,0.20950
106,Magmar,0.20188
107,Vileplume,0.19506
108,Muk,0.19024
109,Altaria,0.18101
110,Roselia,0.17178
111,Duskull,0.16977
112,Lunatone,0.16897
113,Torkoal,0.15572
114,Slowking,0.13606
115,Hitmonlee,0.12923
116,Solrock,0.12923
117,Ninetales,0.12723
118,Primeape,0.11599
119,Gligar,0.11037
120,Mantine,0.11037
121,Absol,0.10997
122,Politoed,0.10756
123,Octillery,0.10596
124,Golem,0.10515
125,Raichu,0.10234
126,Scyther,0.09713
127,Clamperl,0.09552
128,Granbull,0.09311
129,Golduck,0.08990
130,Victreebel,0.08950
131,Grumpig,0.08910
132,Rapidash,0.08749
133,Haunter,0.08509
134,Flareon,0.08308
135,Clefable,0.07907
136,Hitmonchan,0.07706
137,Azumarill,0.07345
138,Yanma,0.07104
139,Volbeat,0.06743
140,Gorebyss,0.06662
141,Chansey,0.06662
142,Murkrow,0.06662
143,Pinsir,0.06100
144,Mightyena,0.06020
145,Kecleon,0.06020
146,Mawile,0.06020
147,Magcargo,0.05699
148,Tropius,0.05458
149,Dunsparce,0.05298
150,Kadabra,0.05258
151,Piloswine,0.05218
152,Shuckle,0.05218
153,Sharpedo,0.05057
154,Feraligatr,0.04896
155,Manectric,0.04896
156,Diglett,0.04174
157,Persian,0.03692
158,Girafarig,0.03652
159,Gastly,0.03171
160,Dewgong,0.03090
161,Beedrill,0.03010
162,Pelipper,0.03010
163,Sneasel,0.02930
164,Swalot,0.02850
165,Pidgeot,0.02729
166,Trapinch,0.02448
167,Whiscash,0.02368
168,Corphish,0.02328
169,Chimecho,0.02207
170,Aron,0.02087
171,Togetic,0.02087
172,Arbok,0.02047
173,Raticate,0.02007
174,Stantler,0.02007
175,Venomoth,0.02007
176,Delcatty,0.01967
177,Abra,0.01967
178,Masquerain,0.01926
179,Fearow,0.01726
180,Castform,0.01726
181,Grovyle,0.01686
182,Tangela,0.01646
183,Lickitung,0.01646
184,Xatu,0.01646
185,Sunflora,0.01525
186,Kingler,0.01445
187,Crawdaunt,0.01405
188,Aipom,0.01284
189,Seadra,0.01244
190,Vigoroth,0.01204
191,Treecko,0.01204
