Rank,Pokemon,UsagePercent
1,Excadrill,28.21150
2,Clefable,20.58725
3,Landorus-Therian,17.83374
4,Ferrothorn,15.42456
5,Rotom-Wash,15.08246
6,Serperior,15.02117
7,Weavile,14.76153
8,Heatran,13.64832
9,Garchomp,13.49231
10,Zapdos,12.24538
11,Talonflame,10.98841
12,Bisharp,10.46913
13,Tornadus-Therian,9.82394
14,Tyranitar,9.54981
15,Keldeo,9.26120
16,Gliscor,9.20660
17,Scizor-Mega,9.11634
18,Gengar,8.91687
19,Metagross-Mega,8.29285
20,Volcarona,8.15913
21,Lopunny-Mega,7.72677
22,Azumarill,7.62313
23,Skarmory,7.60530
24,Volcanion,7.20972
25,Dragonite,7.17072
26,Thundurus,6.83642
27,Manaphy,6.81636
28,Latios,6.80299
29,Slowbro,6.57121
30,Chansey,6.33497
31,Starmie,6.18453
32,Charizard-Mega-X,6.03856
33,Breloom,5.72209
34,Magnezone,5.61622
35,Charizard-Mega-Y,5.55717
36,Latias,5.21952
37,Venusaur-Mega,5.02006
38,Diancie-Mega,4.89191
39,Scizor,4.78048
40,Alakazam-Mega,4.66682
41,Medicham-Mega,4.49967
42,Amoonguss,4.49075
43,Kyurem-Black,4.31357
44,Gardevoir-Mega,4.18654
45,Cofagrigus,4.12079
46,Jirachi,3.57700
47,Cloyster,3.41319
48,Tyranitar-Mega,3.40539
49,Manectric-Mega,3.22599
50,Mew,3.09784
51,Tangrowth,3.07444
52,Hippowdon,2.98752
53,Thundurus-Therian,2.87497
54,Pinsir-Mega,2.84154
55,Politoed,2.80143
56,Azelf,2.76242
57,Togekiss,2.62536
58,Gallade-Mega,2.60419
59,Gyarados-Mega,2.57076
60,Conkeldurr,2.51727
61,Shuckle,2.44707
62,Tentacruel,2.42255
63,Gastrodon,2.29663
64,Aerodactyl,2.27658
65,Nidoking,2.24426
66,Infernape,2.18520
67,Crawdaunt,2.14063
68,Hydreigon,2.10720
69,Espeon,2.05817
70,Suicune,2.02585
71,Swampert-Mega,1.99688
72,Gyarados,1.98462
73,Chandelure,1.94674
74,Latias-Mega,1.94005
75,Altaria-Mega,1.88433
76,Empoleon,1.79184
77,Victini,1.78961
78,Alakazam,1.76398
79,Quagsire,1.75841
80,Garchomp-Mega,1.75284
81,Kingdra,1.66258
82,Milotic,1.57901
83,Cresselia,1.56563
84,Heracross-Mega,1.56452
85,Umbreon,1.55115
86,Blissey,1.47872
87,Jolteon,1.46980
88,Sylveon,1.41854
89,Galvantula,1.41409
90,Snorlax,1.34723
91,Scolipede,1.34723
92,Seismitoad,1.34611
93,Darmanitan,1.31714
94,Gardevoir,1.26365
95,Sceptile-Mega,1.25696
96,Terrakion,1.23579
97,Slowbro-Mega,1.20905
98,Salamence,1.20571
99,Raikou,1.19122
100,Hoopa,1.17228
101,Vaporeon,1.17116
102,Lucario,1.16670
103,Metagross,1.15110
104,Klefki,1.13439
105,Heracross,1.11210
106,Blastoise-Mega,1.10653
107,Masquerain,1.07533
108,Noivern,1.05081
109,Roserade,1.04413
110,Jellicent,1.03633
111,Staraptor,1.02184
112,Zygarde,1.01293
113,Reuniclus,1.01070
114,Arcanine,1.00401
115,Alomomola,0.99955
116,Beedrill-Mega,0.99510
117,Goodra,0.95721
118,Krookodile,0.95052
119,Porygon2,0.91932
120,Mamoswine,0.91041
121,Mienshao,0.90929
122,Latios-Mega,0.90372
123,Haxorus,0.88255
124,Mandibuzz,0.86249
125,Machamp,0.85915
126,Donphan,0.80900
127,Forretress,0.80343
128,Entei,0.78895
129,Venusaur,0.77446
130,Pangoro,0.76554
131,Feraligatr,0.76554
132,Ditto,0.73769
133,Dragalge,0.72766
134,Glaceon,0.69311
135,Crobat,0.67306
136,Aerodactyl-Mega,0.67083
137,Pidgeot-Mega,0.66414
138,Tyrantrum,0.64631
139,Flareon,0.64520
140,Ninetales,0.64297
141,Leafeon,0.64185
142,Heliolisk,0.63628
143,Diggersby,0.63517
144,Hawlucha,0.63183
145,Electivire,0.59728
146,Aggron-Mega,0.58614
147,Absol-Mega,0.58168
148,Blastoise,0.57722
149,Chesnaught,0.56608
150,Swampert,0.56385
151,Whimsicott,0.54491
152,Sableye,0.53822
153,Eevee,0.53154
154,Luxray,0.53042
155,Toxicroak,0.52151
156,Malamar,0.52151
157,Accelgor,0.51928
158,Rotom-Heat,0.50813
159,Lanturn,0.50368
160,Sigilyph,0.47916
161,Drapion,0.46802
162,Diancie,0.45910
163,Honchkrow,0.45019
164,Ampharos-Mega,0.42790
165,Aggron,0.42233
166,Audino-Mega,0.42233
167,Shaymin,0.42010
168,Mismagius,0.40227
169,Weezing,0.40116
170,Bronzong,0.40004
171,Dusclops,0.40004
172,Sharpedo-Mega,0.39336
173,Rhyperior,0.38222
174,Eelektross,0.38110
175,Hitmontop,0.37441
176,Nidoqueen,0.37441
177,Celebi,0.36884
178,Florges,0.36661
179,Exploud,0.36550
180,Ludicolo,0.36439
181,Cradily,0.35993
182,Yanmega,0.35659
183,Kyurem,0.35436
184,Slurpuff,0.35436
185,Spiritomb,0.34433
186,Slowking,0.34210
187,Doublade,0.33764
188,Porygon-Z,0.33764
189,Banette-Mega,0.33541
190,Flygon,0.32984
191,Houndoom-Mega,0.32873
192,Gallade,0.32204
193,Medicham,0.32204
194,Xatu,0.31981
195,Emboar,0.31313
196,Avalugg,0.30198
197,Froslass,0.30198
198,Sceptile,0.28861
199,Linoone,0.28750
200,Armaldo,0.27970
201,Hitmonlee,0.27078
202,Zoroark,0.26744
203,Wartortle,0.26744
204,Delphox,0.26075
205,Ambipom,0.25741
206,Charizard,0.25630
207,Scrafty,0.25630
208,Kabutops,0.25072
209,Shedinja,0.24515
210,Meowstic,0.24515
211,Claydol,0.24404
212,Cinccino,0.23290
213,Typhlosion,0.22621
214,Regice,0.21618
215,Smeargle,0.21172
216,Pikachu,0.21061
217,Camerupt-Mega,0.20615
218,Cobalion,0.20058
219,Granbull,0.19835
220,Ampharos,0.19724
221,Poliwrath,0.19278
222,Chatot,0.18832
223,Lapras,0.18386
224,Druddigon,0.18052
225,Magneton,0.18052
226,Omastar,0.17941
227,Aurorus,0.17606
228,Trevenant,0.17384
229,Clawitzer,0.16492
230,Slaking,0.15823
231,Swellow,0.15823
232,Torkoal,0.15489
233,Steelix-Mega,0.15043
234,Durant,0.14709
235,Plusle,0.14598
236,Rampardos,0.14263
237,Escavalier,0.14263
238,Hariyama,0.14152
239,Uxie,0.13818
240,Furfrou,0.13818
241,Hitmonchan,0.13818
242,Crustle,0.13706
243,Meloetta,0.13706
244,Abomasnow-Mega,0.13595
245,Lilligant,0.13483
246,Raichu,0.13038
247,Glalie-Mega,0.12926
248,Piloswine,0.12926
249,Arbok,0.12592
250,Dedenne,0.12592
251,Rotom-Mow,0.11923
252,Aromatisse,0.11812
253,Barbaracle,0.11812
254,Cryogonal,0.11700
255,Tornadus,0.11478
256,Regirock,0.11143
257,Zangoose,0.11032
258,Lopunny,0.11032
259,Aron,0.10698
260,Victreebel,0.10698
261,Regigigas,0.10698
262,Absol,0.10475
263,Magmortar,0.10475
264,Stoutland,0.10363
265,Drifblim,0.10363
266,Leavanny,0.10363
267,Rhydon,0.10252
268,Golem,0.10140
269,Golurk,0.09918
270,Dewgong,0.09918
271,Carbink,0.09695
272,Ninjask,0.09360
273,Braviary,0.09360
274,Vivillon,0.09360
275,Gigalith,0.09026
276,Tauros,0.09026
277,Gourgeist-Super,0.08803
278,Sandshrew,0.08692
279,Houndoom,0.08469
280,Sharpedo,0.08469
281,Floatzel,0.08357
282,Dusknoir,0.08023
283,Torterra,0.08023
284,Pidgeot,0.08023
285,Shiftry,0.07912
286,Abomasnow,0.07912
287,Primeape,0.07800
288,Moltres,0.07800
289,Walrein,0.07800
290,Archeops,0.07577
291,Zebstrika,0.07577
292,Registeel,0.07577
293,Manectric,0.07466
294,Cacturne,0.07355
295,Miltank,0.07355
296,Steelix,0.07132
297,Pelipper,0.06909
298,Dunsparce,0.06909
299,Liepard,0.06909
300,Rotom,0.06909
301,Altaria,0.06686
302,Kecleon,0.06575
303,Venomoth,0.06463
304,Gourgeist,0.06240
305,Mawile,0.06017
306,Marowak,0.06017
307,Exeggutor,0.05906
308,Dugtrio,0.05906
309,Sandslash,0.05572
310,Sawk,0.05460
311,Dustox,0.05460
312,Camerupt,0.05460
313,Lickilicky,0.05349
314,Qwilfish,0.05237
315,Fearow,0.05237
316,Ariados,0.05237
317,Sawsbuck,0.05237
318,Gligar,0.05237
319,Dragonair,0.05126
320,Scyther,0.05014
321,Mr. Mime,0.04792
322,Dodrio,0.04680
323,Persian,0.04680
324,Samurott,0.04569
325,Lunatone,0.04569
326,Probopass,0.04346
327,Shelmet,0.04346
328,Murkrow,0.04234
329,Chimecho,0.04234
330,Tangela,0.04123
331,Bastiodon,0.04012
332,Ursaring,0.04012
333,Unfezant,0.04012
334,Meganium,0.04012
335,Spinda,0.04012
336,Electrode,0.03900
337,Butterfree,0.03900
338,Bouffalant,0.03789
339,Stunfisk,0.03677
340,Rattata,0.03566
341,Gogoat,0.03566
342,Throh,0.03454
343,Magcargo,0.03454
344,Swoobat,0.03454
345,Nosepass,0.03343
346,Kangaskhan,0.03343
347,Tropius,0.03343
348,Gothitelle,0.03343
349,Pyroar,0.03343
350,Virizion,0.03232
351,Articuno,0.03232
352,Garbodor,0.03232
353,Wigglytuff,0.03120
354,Carracosta,0.03120
355,Electabuzz,0.03120
356,Vileplume,0.03120
357,Bellossom,0.03009
358,Vespiquen,0.02897
359,Jumpluff,0.02897
360,Muk,0.02897
361,Rapidash,0.02786
362,Mantine,0.02674
363,Wailord,0.02563
364,Gorebyss,0.02563
365,Rotom-Frost,0.02563
366,Ferroseed,0.02563
367,Clamperl,0.02452
368,Simisear,0.02452
369,Beheeyem,0.02340
370,Musharna,0.02229
371,Audino,0.02229
372,Emolga,0.02229
373,Sneasel,0.02229
374,Clefairy,0.02229
375,Raticate,0.02117
376,Kingler,0.02117
377,Pancham,0.02117
378,Jynx,0.01894
379,Swalot,0.01894
380,Purugly,0.01894
381,Swanna,0.01783
382,Klinklang,0.01671
383,Vigoroth,0.01671
384,Taillow,0.01671
385,Relicanth,0.01671
386,Corsola,0.01671
387,Wormadam-Sandy,0.01671
388,Klang,0.01671
389,Pidgeotto,0.01671
390,Gourgeist-Small,0.01560
391,Combusken,0.01560
392,Wobbuffet,0.01560
393,Beartic,0.01560
394,Riolu,0.01337
395,Banette,0.01337
396,Noctowl,0.01337
397,Onix,0.01337
398,Golduck,0.01337
399,Golbat,0.01226
400,Skuntank,0.01226
401,Delcatty,0.01226
402,Mightyena,0.01226
403,Boldore,0.01226
404,Yamask,0.01114
405,Munchlax,0.01114
406,Misdreavus,0.01114
407,Shroomish,0.01114
408,Simipour,0.01114
409,Togepi,0.01003
410,Maractus,0.01003
411,Kricketune,0.01003
412,Farfetch'd,0.01003
413,Pachirisu,0.01003
414,Togetic,0.01003
415,Haunter,0.01003
416,Simisage,0.01003
417,Pinsir,0.01003
418,Cottonee,0.00891
419,Happiny,0.00891
420,Pichu,0.00891
421,Bunnelby,0.00891
422,Sunflora,0.00891
423,Magikarp,0.00891
424,Pidgey,0.00891
425,Seadra,0.00891
426,Magnemite,0.00780
427,Natu,0.00780
428,Octillery,0.00780
429,Marshtomp,0.00780
430,Seviper,0.00780
431,Drifloon,0.00780
432,Rotom-Fan,0.00780
433,Pineco,0.00780
434,Glalie,0.00780
435,Igglybuff,0.00669
436,Lairon,0.00669
437,Solrock,0.00669
438,Mesprit,0.00669
439,Sudowoodo,0.00669
440,Beautifly,0.00669
441,Wynaut,0.00557
442,Castform,0.00557
443,Delibird,0.00557
444,Girafarig,0.00557
445,Whiscash,0.00557
446,Bidoof,0.00557
447,Solosis,0.00557
448,Machoke,0.00557
449,Diglett,0.00557
450,Lickitung,0.00557
451,Surskit,0.00557
452,Eelektrik,0.00557
453,Goldeen,0.00446
454,Volbeat,0.00446
455,Braixen,0.00446
456,Froakie,0.00446
457,Fletchling,0.00446
458,Chespin,0.00446
459,Parasect,0.00446
460,Basculin,0.00446
461,Treecko,0.00446
462,Clauncher,0.00446
463,Dewott,0.00446
464,Shelgon,0.00446
465,Huntail,0.00446
466,Minun,0.00446
467,Snivy,0.00446
468,Baltoy,0.00446
469,Noibat,0.00334
470,Combee,0.00334
471,Corphish,0.00334
472,Cherrim,0.00334
473,Kadabra,0.00334
474,Luvdisc,0.00334
475,Furret,0.00334
476,Archen,0.00334
477,Buneary,0.00334
478,Grumpig,0.00334
479,Nuzleaf,0.00334
480,Skrelp,0.00334
481,Zorua,0.00334
482,Mime Jr.,0.00334
483,Hypno,0.00334
484,Watchog,0.00334
485,Gastly,0.00334
486,Nidorino,0.00223
487,Magmar,0.00223
488,Finneon,0.00223
489,Kakuna,0.00223
490,Metapod,0.00223
491,Bergmite,0.00223
492,Purrloin,0.00223
493,Bibarel,0.00223
494,Numel,0.00223
495,Woobat,0.00223
496,Honedge,0.00223
497,Chinchou,0.00223
498,Mienfoo,0.00223
499,Drilbur,0.00223
500,Abra,0.00223
501,Voltorb,0.00223
502,Palpitoad,0.00223
503,Beedrill,0.00223
504,Krabby,0.00223
505,Scraggy,0.00223
506,Meowth,0.00223
507,Carnivine,0.00223
508,Kirlia,0.00111
509,Slowpoke,0.00111
510,Fennekin,0.00111
511,Trapinch,0.00111
512,Gulpin,0.00111
513,Munna,0.00111
514,Unown,0.00111
515,Porygon,0.00111
516,Goomy,0.00111
517,Litwick,0.00111
518,Sealeo,0.00111
519,Vanilluxe,0.00111
520,Ledian,0.00111
521,Skitty,0.00111
522,Trubbish,0.00111
523,Nincada,0.00111
524,Pumpkaboo-Super,0.00111
525,Tyrunt,0.00111
